RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
1,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,142.32035980001092,None,,,,,,,,,,,,,,,,,,,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,503.55647769989446,None,space,42.1434198000934,503.55647769989446,None,,,,,,,,,,,,,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,0,0,0,,,,,,,,,None,None,547.8235476999544,None,547.8235476999544,None,None,None,None,1,547.8235476999544,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,548.7402209998108,None,548.7402209998108,549.74022529996,549.7235569998156,550.723599899793,None,1,548.7402209998108,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,550.7402404998429,None,550.7402404998429,551.7402460000012,551.7235778998584,552.7236054998357,None,1,550.7402404998429,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,552.7402492999099,None,552.7402492999099,553.7402568999678,553.7235979000106,554.7236023999285,None,1,552.7402492999099,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,554.7402887998614,None,554.7402887998614,555.7402637999039,555.7236085999757,556.7236084998585,None,1,554.7402887998614,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,9,"[0.2, -0.2]",1,0,1,1,1,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,556.7402831998188,None,556.7402831998188,557.7402879998554,557.7236260999925,558.7236158999149,None,0,556.7402831998188,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,558.7403052998707,None,558.7403052998707,559.7403010998387,559.7236383999698,560.7236441997811,None,1,558.7403052998707,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,560.7403129998129,None,560.7403129998129,561.7403272998054,561.723654499976,562.7236572999973,None,1,560.7403129998129,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,562.7403334998526,None,562.7403334998526,563.7403372998815,563.7236681999639,564.7236713999882,None,1,562.7403334998526,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,564.7403490999714,None,564.7403490999714,565.7403419998009,565.7236972998362,566.7236975999549,None,1,564.7403490999714,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,5,"[0, 0]",1,0,1,1,1,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,566.7403711997904,None,566.7403711997904,567.7403776999563,567.7237193998881,568.7237108999398,None,0,566.7403711997904,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,568.7403820999898,None,568.7403820999898,569.7403957999777,569.7237260998227,570.7237228997983,None,1,568.7403820999898,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,570.7404031998012,None,570.7404031998012,571.7403977999929,571.7237278998364,572.7237348000053,None,1,570.7404031998012,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,6,"[0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,572.740422999952,None,572.740422999952,573.7404212998226,573.7237589999568,574.7237555999309,None,0,572.740422999952,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,8,"[0, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,574.7404223999474,None,574.7404223999474,575.7404549999628,575.7237722999416,576.7237846998032,None,1,574.7404223999474,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,576.7404563999735,None,576.7404563999735,577.7404553999659,577.7237877999432,578.723799899919,None,1,576.7404563999735,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,578.7404812998138,None,578.7404812998138,579.7404785999097,579.7237874998245,580.7238111998886,None,1,578.7404812998138,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,580.7404773999006,None,580.7404773999006,581.7405045998748,581.723815899808,582.7238400999922,None,1,580.7404773999006,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,582.7405069998931,None,582.7405069998931,583.7405168998521,583.7238403998781,584.7237354000099,None,1,582.7405069998931,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,584.7405189999845,None,584.7405189999845,585.7405443999451,585.7238194998354,586.7238631998189,None,1,584.7405189999845,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,3,"[0.2, 0.2]",1,0,1,1,1,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,586.740555399796,None,586.740555399796,587.7405373000074,587.723858299898,588.7238719998859,None,0,586.740555399796,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,4,"[-0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,588.7405897998251,None,588.7405897998251,589.7405620999634,589.7238798998296,590.7238715998828,None,1,588.7405897998251,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,590.7405708997976,None,590.7405708997976,591.7405819999985,591.7239117999561,592.7239019998815,None,1,590.7405708997976,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,4,"[-0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,592.7406021999195,None,592.7406021999195,593.7405936999712,593.7238570998888,594.7239404998254,None,0,592.7406021999195,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,4,"[-0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,24,24,24,,,,,,,,,,,594.740622199839,None,594.740622199839,595.7406287998892,595.7239346997812,596.7239401999395,None,1,594.740622199839,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,596.7406177998055,None,596.7406177998055,597.7406636998057,597.7239698998164,598.7239552999381,None,1,596.7406177998055,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,26,26,26,,,,,,,,,,,598.7406283000018,None,598.7406283000018,599.7406314997934,599.7239660997875,600.7239855998196,None,1,598.7406283000018,None,1,M,9,R,KB,2021_May_28_1300,WASABI Nback,2020.2.10,59.99768405779158,
