RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,441.5546846999787,None,441.5546846999787,442.5546806000639,442.5380203999812,443.53802850004286,None,1,441.5546846999787,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,443.5547040000092,None,443.5547040000092,444.5546927000396,444.5380352999782,445.53804840007797,None,1,443.5547040000092,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,445.5547054000199,None,445.5547054000199,446.5547276000725,446.53805510001257,447.5380802999716,None,1,445.5547054000199,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,447.5547216000268,None,447.5547216000268,448.5547446999699,448.5380848000059,449.5380861000158,None,1,447.5547216000268,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,3,"[0.2, 0.2]",1,0,1,1,1,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,449.55473370000254,None,449.55473370000254,450.55475520004984,450.53809839999303,451.53811339999083,None,0,449.55473370000254,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,4,"[-0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,451.5547577000689,None,451.5547577000689,452.55477460008115,452.53812709997874,453.5381233000662,None,1,451.5547577000689,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,453.55478960007895,None,453.55478960007895,454.55478390003555,454.5381437999895,455.53813330002595,None,1,453.55478960007895,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,4,"[-0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,455.5548027000623,None,455.5548027000623,456.5547930999892,456.5381569999736,457.53816510003526,None,0,455.5548027000623,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,4,"[-0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,24,24,24,,,,,,,,,,,457.55481180001516,None,457.55481180001516,458.5548296000343,458.53814730001613,459.5381676000543,None,1,457.55481180001516,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,459.5548237999901,None,459.5548237999901,460.55483440007083,460.5382172999671,461.53817940002773,None,1,459.5548237999901,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,26,26,26,,,,,,,,,,,461.55484490003437,None,461.55484490003437,462.55486100004055,462.53822380001657,463.5382213999983,None,1,461.55484490003437,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,27,27,27,,,,,,,,,,,463.5548601000337,None,463.5548601000337,464.55488189996686,464.5382118000416,465.53822820005007,None,1,463.5548601000337,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,28,28,28,,,,,,,,,,,465.5547596999677,None,465.5547596999677,466.55489650007803,466.53825620003045,467.53823369997554,None,1,465.5547596999677,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,6,"[0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,29,29,29,,,,,,,,,,,467.5549046000233,None,467.5549046000233,468.5549008999951,468.53824610006995,469.53824580006767,None,0,467.5549046000233,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,30,30,30,,,,,,,,,,,469.5548477000557,None,469.5548477000557,470.5549282999709,470.5382352999877,471.53827839996666,None,1,469.5548477000557,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,31,31,31,,,,,,,,,,,471.55494070006534,None,471.55494070006534,472.554945699987,472.5382850000169,473.5382757000625,None,1,471.55494070006534,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,6,"[0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,32,32,32,,,,,,,,,,,473.55495800008066,None,473.55495800008066,474.5549628000008,474.5383128999965,475.53829599998426,None,0,473.55495800008066,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,33,33,33,,,,,,,,,,,475.5549506000243,None,475.5549506000243,476.55497280007694,476.53829840000253,477.53831079998054,None,1,475.5549506000243,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,34,34,34,,,,,,,,,,,477.554981400026,None,477.554981400026,478.5549899999751,478.53832060005516,479.5383296000073,None,1,477.554981400026,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,4,"[-0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,35,35,35,,,,,,,,,,,479.555002200068,None,479.555002200068,480.55501390004065,480.53834670002107,481.53835240006447,None,1,479.555002200068,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,4,"[-0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,36,36,36,,,,,,,,,,,481.55501440004446,None,481.55501440004446,482.55502369999886,482.53835499996785,483.5383639000356,None,1,481.55501440004446,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,37,37,37,,,,,,,,,,,483.55503479996696,None,483.55503479996696,484.5550456000492,484.5383726999862,485.538356199977,None,1,483.55503479996696,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,4,"[-0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,38,38,38,,,,,,,,,,,485.5550567000173,None,485.5550567000173,486.55506100005005,486.53838869999163,487.5384076000191,None,0,485.5550567000173,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,39,39,39,,,,,,,,,,,487.5550740000326,None,487.5550740000326,488.555079300073,488.5384071000153,489.5384184999857,None,1,487.5550740000326,None,1,m,6,r,CIB,2021_May_19_1025,WASABI Nback,2020.2.10,60.0040202860007,
