square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response_2.rt_left,response_2.rt_right,fixation_rest.started,fixation_rest.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
5,"[0, 0]",0,0,10,10,10,,,None,None,"[0, 0, 0]",182.29793790000258,184.29794699998456,182.29793790000258,183.29794650000986,183.2812835999939,184.28128659998765,"[0, 0, 0]",1,182.29793790000258,184.29794699998456,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",1,0,11,11,11,,,None,None,"[0, 0, 0]",184.31460899999365,186.31462819999433,184.31460899999365,185.31463519998943,185.29796589998296,186.29795899998862,"[0, 0, 0]",1,184.31460899999365,186.31462819999433,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",0,0,12,12,12,,,None,None,"[0, 0, 0]",186.33129400000325,188.33122319998802,186.33129400000325,187.33131710000453,187.3146443000005,188.3146662999934,"[0, 0, 0]",1,186.33129400000325,188.33122319998802,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
9,"[0.2, -0.2]",0,0,13,13,13,,,None,None,"[0, 0, 0]",188.34799300000304,190.34798570000567,188.34799300000304,189.34799350000685,189.3313354999991,190.33134319999954,"[0, 0, 0]",1,188.34799300000304,190.34798570000567,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
9,"[0.2, -0.2]",0,0,14,14,14,,,None,None,"[0, 0, 0]",190.36468219998642,192.36468679999234,190.36468219998642,191.36467750000884,191.34800769999856,192.34801759998663,"[0, 0, 0]",1,190.36468219998642,192.36468679999234,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
8,"[0, -0.2]",0,0,15,15,15,,,None,None,"[0, 0, 0]",192.3813639,194.3813770999841,192.3813639,193.38136860000668,193.36469839999336,194.364711000002,"[0, 0, 0]",1,192.3813639,194.3813770999841,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
6,"[0.2, 0]",0,0,16,16,16,,,None,None,"[0, 0, 0]",194.3980423999892,196.39805059999344,194.3980423999892,195.398033400008,195.38138929998968,196.3814016999968,"[0, 0, 0]",1,194.3980423999892,196.39805059999344,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",0,0,17,17,17,,,None,None,"[0, 0, 0]",196.41473950000363,198.41473940000287,196.41473950000363,197.41475399999763,197.39805759998853,198.39805940000224,"[0, 0, 0]",1,196.41473950000363,198.41473940000287,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
6,"[0.2, 0]",1,0,18,18,18,,,None,None,"[0, 0, 0]",198.43141019999166,200.4314356999821,198.43141019999166,199.43142219999572,199.41475940000964,200.41477470000973,"[0, 0, 0]",0,198.43141019999166,200.4314356999821,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
5,"[0, 0]",0,0,19,19,19,,,None,None,"[0, 0, 0]",200.44809049999458,202.4480870999978,200.44809049999458,201.44808850000845,201.43143890000647,202.43144549999852,"[0, 0, 0]",1,200.44809049999458,202.4480870999978,,,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,MH IN,49,49,2022_Jul_15_1629,2020.2.10,distractmap,59.98814634280907,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
