square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
3,"[0.2, 0.2]",0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1122.8626225000044,1124.8626438000065,1122.8626225000044,1123.8626304000063,1123.845973100004,1124.8459709000017,"[0, 0, 0]",1,1122.8626225000044,1124.8626438000065,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
6,"[0.2, 0]",1,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1124.8793175000028,1126.8793221000087,1124.8793175000028,1125.8793223999965,1125.862641700005,1126.8626619999995,"[0, 0, 0]",1,1124.8793175000028,1126.8793221000087,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
5,"[0, 0]",0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1126.8959881000046,1128.8960133000073,1126.8959881000046,1127.895994999999,1127.879329000003,1128.8793418999994,"[0, 0, 0]",1,1126.8959881000046,1128.8960133000073,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
7,"[-0.2, -0.2]",0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1128.9126760000072,1130.9126955999964,1128.9126760000072,1129.9126765999972,1129.8960207000055,1130.8960164000018,"[0, 0, 0]",1,1128.9126760000072,1130.9126955999964,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
5,"[0, 0]",1,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1130.9293703000003,1132.9293838000012,1130.9293703000003,1131.9293705000018,1131.9126978999993,1132.9126923000003,"[0, 0, 0]",1,1130.9293703000003,1132.9293838000012,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
1,"[-0.2, 0.2]",0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1132.9460392000037,1134.9460487000033,1132.9460392000037,1133.9460365999985,1133.9293835999997,1134.9294004999974,"[0, 0, 0]",1,1132.9460392000037,1134.9460487000033,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
7,"[-0.2, -0.2]",0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1134.9627101000078,1136.9627447000094,1134.9627101000078,1135.9627256999956,1135.946067900004,1136.9460648000095,"[0, 0, 0]",0,1134.9627101000078,1136.9627447000094,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
9,"[0.2, -0.2]",0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1136.9794092000084,1138.9794196000003,1136.9794092000084,1137.9794063000008,1137.9627349000075,1138.9627382000035,"[0, 0, 0]",1,1136.9794092000084,1138.9794196000003,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
3,"[0.2, 0.2]",0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1138.9960699000076,1140.9961026999954,1138.9960699000076,1139.9961015000008,1139.9794223000063,1140.9794265999953,"[0, 0, 0]",1,1138.9960699000076,1140.9961026999954,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
9,"[0.2, -0.2]",1,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",1141.0127584000002,1143.0127676999982,1141.0127584000002,1142.0127693999966,1141.9960982000048,1142.996118199997,"[0, 0, 0]",1,1141.0127584000002,1143.0127676999982,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
