	onset	duration	phase	condition
0	2.8364431001245975	1.466658900026232	cue	Right Leg
1	4.3031020001508296	16.515987328486517	movement	Right Leg
2	20.804819700075313	18.0123023299966	rest	Rest
3	38.86089799995534	1.4831042001023889	cue	Abdomen
4	40.34400220005773	16.500639819772914	movement	Abdomen
5	56.889391999924555	1.4832647000439465	cue	Chest
6	58.3726566999685	16.510407119989395	movement	Chest
7	74.8718729999382	18.012317629763857	rest	Rest
8	92.91963999997824	1.4833385001402348	cue	Left Leg
9	94.40297850011848	16.50039269006811	movement	Left Leg
10	110.95559419994242	1.4833380999043584	cue	Right Face
11	112.43893229984678	16.512074320111424	movement	Right Face
12	128.93916529999115	18.011855429969728	rest	Rest
13	147.00090020010248	1.4830569000914693	cue	Left Arm
14	148.48395710019395	16.505601219832897	movement	Left Arm
15	164.9899250001181	18.01087473006919	rest	Rest
16	183.0461005999241	1.4830390999559313	cue	Right Arm
17	184.52913969988003	16.51576422015205	movement	Right Arm
18	201.0868035000749	1.483080100035295	cue	Left Face
19	202.5698836001102	16.50124188978225	movement	Left Face
20	219.11370899993926	1.4830237000714988	cue	Left Face
21	220.59673270001076	16.514430589741096	movement	Left Face
22	237.1069694000762	18.011150730075315	rest	Rest
23	255.1501317000948	1.4830306000076234	cue	Right Leg
24	256.6331623001024	16.508732790360227	movement	Right Leg
25	273.18890890013427	1.4833706999197602	cue	Right Face
26	274.672279600054	16.514453619951382	movement	Right Face
27	291.17399980011396	18.011244229739532	rest	Rest
28	309.2252625001129	1.4830417002085596	cue	Right Arm
29	310.70830420032144	16.50932611967437	movement	Right Arm
30	327.25307120010257	1.4830666999332607	cue	Abdomen
31	328.7361379000358	16.503847290063277	movement	Abdomen
32	345.24099650001153	18.011329429922625	rest	Rest
33	363.28942349995486	1.4833309999667108	cue	Left Leg
34	364.7727544999216	16.514848919818178	movement	Left Leg
35	381.3324267999269	1.4831048001069576	cue	Left Arm
36	382.81553160003386	16.51267421990633	movement	Left Arm
37	399.37353520002216	1.4833722000475973	cue	Chest
38	400.85690740006976	16.513785119866952	movement	Chest
39	417.3580722999759	18.011702629970387	rest	Rest
40	Condition Order: 	['Right Leg', 'Rest', 'Abdomen', 'Chest', 'Rest', 'Left Leg', 'Right Face', 'Rest', 'Left Arm', 'Rest', 'Right Arm', 'Left Face', 'Left Face', 'Rest', 'Right Leg', 'Right Face', 'Rest', 'Right Arm', 'Abdomen', 'Rest', 'Left Leg', 'Left Arm', 'Chest', 'Rest']		
