	repetition	confirm_time	body_site	stim_temp	calibration_onset	calibration_jitter	calibration_duration	heat_onset	heat_jitter	heat_duration	hot_temp	valence_rating	intensity_rating
0	1	249.0688696000143	Left Leg	37.0	254.09081389999483	1	33	292.1113328000065	1	10	48.5	-17	22
1	1	389.7313023000024	Right Leg	36.5	391.581151099992	0	31	428.2175315999775	2	10	47.5	-18	22
2	1	515.8644120999961	Right Arm	43.0	517.4141058999812	0	33	557.9543602999765	3	10	48.5	-35	33
3	1	622.4637450000155	Right Face	36.5	627.797620599973	3	27	658.8366444999701	0	10	45.5	-14	16
4	1	703.2133231000043	Chest	38.0	725.0946966999909	3	28	758.5818193000159	1	10	46.0	-19	16
5	1	820.7108073999989	Left Arm	32.0	823.9271247999859	2	30	859.1840575999813	1	10	47.0	-34	32
6	1	916.5790800999966	Abdomen	38.5	918.6792315000203	0	29	954.7726536000264	3	10	46.5	-19	19
7	1	999.8120787999942	Left Face	37.5	1004.6956750000245	3	31	1039.7149179999833	0	10	47.5	-34	27
8	2	1076.2098363999976	Right Face	38.5	1081.3304693999817	3	30	1116.0751241000253	1	10	47.0	-21	29
9	2	1181.7782881999738	Left Leg	38.5	1188.0097274999716	3	27	1219.3790518000023	1	10	45.5	-30	33
10	2	1271.0444343999843	Chest	39.0	1272.9276793000172	0	29	1306.5712281999877	0	10	46.5	-30	32
11	2	1353.1603759999853	Left Face	42.0	1357.3607239000266	2	31	1396.2602796999854	3	10	47.5	-29	29
12	2	1443.1933095999993	Abdomen	39.0	1445.7584407000104	1	29	1482.1789787000162	3	10	46.5	-24	28
13	2	1530.658043399977	Right Leg	34.5	1535.0747055999818	3	27	1566.9228342999704	0	10	45.5	-18	27
14	2	1634.1092004000093	Right Arm	36.0	1638.0763775000232	3	28	1670.37833029998	0	10	46.0	-27	31
15	2	1732.5429605999961	Left Arm	32.0	1736.440530300024	0	25	1769.1783658000058	3	10	44.5	-25	30
16	3	1816.3423418999882	Abdomen	39.0	1820.3091314000194	3	30	1857.3504925000016	3	10	47.0	-33	34
17	3	1895.7241497000214	Chest	41.0	1897.8751411000267	1	28	1931.3606625000248	1	10	46.0	-18	27
18	3	1964.2914007999934	Right Face	43.5	1967.1899990999955	1	32	2005.6463549999753	2	10	48.0	-36	32
19	3	2053.3551790000056	Right Leg	41.5	2054.8081743000075	0	29	2091.8324901000015	3	10	46.5	-22	31
20	3	2135.441062800004	Left Leg	39.0	2138.1410494999727	0	26	2168.118024699972	0	10	45.0	-18	25
21	3	2217.657134899986	Left Arm	34.5	2220.0741364000132	1	25	2249.1594507999835	0	10	44.5	-22	30
22	3	2296.5881328000105	Right Arm	35.5	2300.6072982000187	3	28	2333.8164658999885	1	10	46.0	-24	28
23	3	2376.3066422999837	Left Face	47.5	2381.9538583999965	3	28	2425.0530413999804	3	10	49.0	-16	15
24	4	2471.524864599982	Right Arm	38.5	2472.6062583000166	0	30	2509.634087399987	2	10	47.0	-23	21
25	4	2554.0557223000214	Abdomen	39.5	2557.1703830999904	1	29	2592.9754597999854	2	10	46.5	-32	34
26	4	2629.805975300027	Chest	42.0	2632.320166599995	0	29	2666.4813062999747	0	10	46.5	-33	33
27	4	2705.255474400008	Right Leg	32.0	2705.938782699988	0	29	2741.793062300014	2	10	46.5	-30	30
28	4	2781.4878764000023	Right Face	39.5	2785.872043200012	3	29	2821.0900844999705	2	10	46.5	-28	30
29	4	2858.4737482999917	Left Face	39.5	2862.18763890001	2	27	2897.5515894999844	3	10	45.5	-17	19
30	4	2946.320747299993	Left Arm	39.0	2952.087391600013	2	27	2985.3568174000247	2	10	45.5	-24	23
31	4	3035.1038495000103	Left Leg	37.0	3038.7855361999827	3	28	3074.7319924000185	3	10	46.0	-23	24
