	onset	duration	rt	response	correct	attempt	condition
0	327.39863930037245	1.9883422795683146			1.0	0.0	2back
1	329.3986508999951	2.009535939898342			1.0	0.0	2back
2	331.4153370000422	2.011311939917505			0.0	0.0	2back
3	333.4320237999782	2.0114235393702984			0.0	0.0	2back
4	335.4487303001806	2.0113747399300337			0.0	0.0	2back
5	337.46540950005874	2.0112336399033666			0.0	0.0	2back
6	339.48208210011944	2.011197340209037			0.0	0.0	2back
7	341.4987445003353	2.0113960397429764			0.0	0.0	2back
8	343.51542660035193	2.0114846392534673			0.0	0.0	2back
9	345.53210150031373	2.0116154397837818			0.0	0.0	2back
10	347.54880520002916	2.0115409400314093			0.0	0.0	2back
11	349.5654656002298	2.011483139824122			0.0	0.0	2back
12	351.58214230043814	2.011474240105599			0.0	0.0	2back
13	353.5988242002204	2.0116125401109457			0.0	0.0	2back
14	355.6155183999799	2.0116501399315894			0.0	0.0	2back
15	357.63218330033123	2.011546140536666			0.0	0.0	2back
16	359.64887370029464	2.01140943961218			0.0	0.0	2back
17	361.66554630035535	2.011634440161288			0.0	0.0	2back
18	363.6822875002399	2.011426140088588			0.0	0.0	2back
19	365.6989321000874	2.0117318402044475			0.0	0.0	2back
20	367.71560070011765	2.011241940315813			0.0	0.0	2back
21	369.7322737001814	2.011738539673388			0.0	0.0	2back
22	371.7489810003899	2.0116447401233017			0.0	0.0	2back
23	373.765652500093	2.0116172400303185			0.0	0.0	2back
24	375.78233120031655	2.0114296399988234			0.0	0.0	2back
25	377.7990035000257	2.0115349399857223			0.0	0.0	2back
26	379.81569000007585	2.0115558397956192			0.0	0.0	2back
27	381.8323656003922	2.011666240170598			0.0	0.0	2back
28	383.8490638001822	2.0116584398783743			0.0	0.0	2back
29	385.8657247000374	2.01178803993389			0.0	0.0	2back
30	score: 	100.0					
