square,location,corrAns,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,runSeq,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
5,"[0, 0]",1,0,0,0,0,0,16,16,16,,,,,,,,,,,,210.63312030024827,None,210.63312030024827,211.6331275003031,211.616461600177,212.61648560035974,0,-0.2462962962962963,0.017592592592592594,"[0, 0, 0]",0,0,210.63312030024827,None,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1527,WASABI distractmap,2020.2.10,59.99919607449888,"['Right Arm', 'Right Leg', 'Right Face', 'Left Leg', 'Left Face', 'Right Face', 'Left Leg', 'Chest', 'Abdomen', 'Right Arm', 'Right Leg', 'Abdomen', 'Left Arm', 'Left Arm', 'Left Face', 'Chest']",
1,"[-0.2, 0.2]",0,0,0,0,0,0,17,17,17,,,,,,,,,,,,212.6331388000399,None,212.6331388000399,213.6331482003443,213.61648120032623,214.6164823002182,1,-0.2462962962962963,0.017592592592592594,"[0, 0, 0]",0,0,212.6331388000399,None,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1527,WASABI distractmap,2020.2.10,59.99919607449888,"['Right Arm', 'Right Leg', 'Right Face', 'Left Leg', 'Left Face', 'Right Face', 'Left Leg', 'Chest', 'Abdomen', 'Right Arm', 'Right Leg', 'Abdomen', 'Left Arm', 'Left Arm', 'Left Face', 'Chest']",
3,"[0.2, 0.2]",0,0,0,0,0,0,18,18,18,,,,,,,,,,,,214.63314749998972,None,214.63314749998972,215.63315750006586,215.61649450007826,216.61647880030796,1,-0.2462962962962963,0.017592592592592594,"[0, 0, 0]",0,0,214.63314749998972,None,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1527,WASABI distractmap,2020.2.10,59.99919607449888,"['Right Arm', 'Right Leg', 'Right Face', 'Left Leg', 'Left Face', 'Right Face', 'Left Leg', 'Chest', 'Abdomen', 'Right Arm', 'Right Leg', 'Abdomen', 'Left Arm', 'Left Arm', 'Left Face', 'Chest']",
6,"[0.2, 0]",0,0,0,0,0,0,19,19,19,,,,,,,,,,,,216.63316430011764,None,216.63316430011764,217.63317049993202,217.61651100032032,218.61653020000085,1,-0.2462962962962963,0.017592592592592594,"[0, 0, 0]",0,0,216.63316430011764,None,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1527,WASABI distractmap,2020.2.10,59.99919607449888,"['Right Arm', 'Right Leg', 'Right Face', 'Left Leg', 'Left Face', 'Right Face', 'Left Leg', 'Chest', 'Abdomen', 'Right Arm', 'Right Leg', 'Abdomen', 'Left Arm', 'Left Arm', 'Left Face', 'Chest']",
1,"[-0.2, 0.2]",0,0,0,0,0,0,20,20,20,,,,,,,,,,,,218.63317769998685,None,218.63317769998685,219.6331831002608,219.61652440018952,220.61655999999493,1,-0.2462962962962963,0.017592592592592594,"[0, 0, 0]",0,0,218.63317769998685,None,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1527,WASABI distractmap,2020.2.10,59.99919607449888,"['Right Arm', 'Right Leg', 'Right Face', 'Left Leg', 'Left Face', 'Right Face', 'Left Leg', 'Chest', 'Abdomen', 'Right Arm', 'Right Leg', 'Abdomen', 'Left Arm', 'Left Arm', 'Left Face', 'Chest']",
1,"[-0.2, 0.2]",1,0,0,0,0,0,21,21,21,,,,,,,,,,,,220.6331854001619,None,220.6331854001619,221.6332054999657,221.61653740005568,222.6165690999478,1,-0.2462962962962963,0.017592592592592594,"[0, 0, 0]",0,0,220.6331854001619,None,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1527,WASABI distractmap,2020.2.10,59.99919607449888,"['Right Arm', 'Right Leg', 'Right Face', 'Left Leg', 'Left Face', 'Right Face', 'Left Leg', 'Chest', 'Abdomen', 'Right Arm', 'Right Leg', 'Abdomen', 'Left Arm', 'Left Arm', 'Left Face', 'Chest']",
1,"[-0.2, 0.2]",1,0,0,0,0,0,22,22,22,,,,,,,,,,,,222.63319690013304,None,222.63319690013304,223.63322059996426,223.6165571003221,224.61657549999654,1,-0.2462962962962963,0.017592592592592594,"[0, 0, 0]",0,0,222.63319690013304,None,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1527,WASABI distractmap,2020.2.10,59.99919607449888,"['Right Arm', 'Right Leg', 'Right Face', 'Left Leg', 'Left Face', 'Right Face', 'Left Leg', 'Chest', 'Abdomen', 'Right Arm', 'Right Leg', 'Abdomen', 'Left Arm', 'Left Arm', 'Left Face', 'Chest']",
3,"[0.2, 0.2]",0,0,0,0,0,0,23,23,23,,,,,,,,,,,,224.6332201003097,None,224.6332201003097,225.63322980003431,225.61656389990821,226.61657610023394,1,-0.2462962962962963,0.017592592592592594,"[0, 0, 0]",0,0,224.6332201003097,None,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1527,WASABI distractmap,2020.2.10,59.99919607449888,"['Right Arm', 'Right Leg', 'Right Face', 'Left Leg', 'Left Face', 'Right Face', 'Left Leg', 'Chest', 'Abdomen', 'Right Arm', 'Right Leg', 'Abdomen', 'Left Arm', 'Left Arm', 'Left Face', 'Chest']",
2,"[0, 0.2]",0,0,0,0,0,0,24,24,24,,,,,,,,,,,,226.6332306000404,None,226.6332306000404,227.6332322000526,227.616586800199,228.6165944999084,1,-0.2462962962962963,0.017592592592592594,"[0, 0, 0]",0,0,226.6332306000404,None,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1527,WASABI distractmap,2020.2.10,59.99919607449888,"['Right Arm', 'Right Leg', 'Right Face', 'Left Leg', 'Left Face', 'Right Face', 'Left Leg', 'Chest', 'Abdomen', 'Right Arm', 'Right Leg', 'Abdomen', 'Left Arm', 'Left Arm', 'Left Face', 'Chest']",
1,"[-0.2, 0.2]",0,0,0,0,0,0,25,25,25,,,,,,,,,,,,228.63324610004202,None,228.63324610004202,229.63326869998127,229.61658859997988,230.6166342003271,1,-0.2462962962962963,0.017592592592592594,"[0, 0, 0]",0,0,228.63324610004202,None,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1527,WASABI distractmap,2020.2.10,59.99919607449888,"['Right Arm', 'Right Leg', 'Right Face', 'Left Leg', 'Left Face', 'Right Face', 'Left Leg', 'Chest', 'Abdomen', 'Right Arm', 'Right Leg', 'Abdomen', 'Left Arm', 'Left Arm', 'Left Face', 'Chest']",
