square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,fixation_rest.started,fixation_rest.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
1,"[-0.2, 0.2]",0.0,0,12,12,12,,,None,None,"[0, 0, 0]",339.6241994999582,341.6242126999423,339.6241994999582,340.624208199908,340.60757029999513,341.6075574000133,"[0, 0, 0]",1,339.6241994999582,341.6242126999423,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
9,"[0.2, -0.2]",0.0,0,13,13,13,,,None,None,"[0, 0, 0]",341.64085999992676,343.64090939995367,341.64085999992676,342.6408868000144,342.62421279994305,343.62422749993857,"[0, 0, 0]",1,341.64085999992676,343.64090939995367,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
9,"[0.2, -0.2]",0.0,0,14,14,14,,,None,None,"[0, 0, 0]",343.6575798999984,345.65758819994517,343.6575798999984,344.657613499905,344.64090629993007,345.6409397999523,"[0, 0, 0]",1,343.6575798999984,345.65758819994517,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
8,"[0, -0.2]",0.0,0,15,15,15,,,None,None,"[0, 0, 0]",345.67426090000663,347.6742567999754,345.67426090000663,346.67426499992143,346.6575970000122,347.6576061999658,"[0, 0, 0]",1,345.67426090000663,347.6742567999754,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
6,"[0.2, 0]",0.0,0,16,16,16,,,None,None,"[0, 0, 0]",347.6909724000143,349.69097609992605,347.6909724000143,348.6909691999899,348.67428589996416,349.6742898999946,"[0, 0, 0]",1,347.6909724000143,349.69097609992605,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
3,"[0.2, 0.2]",0.0,0,17,17,17,,,None,None,"[0, 0, 0]",349.70763580000494,351.7076260999311,349.70763580000494,350.7077059999574,350.6910338999005,351.6909852999961,"[0, 0, 0]",1,349.70763580000494,351.7076260999311,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
6,"[0.2, 0]",1.0,0,18,18,18,,,None,None,"[0, 0, 0]",351.72429129993543,353.7243035999127,351.72429129993543,352.7243184999097,352.70764999999665,353.70766959991306,"[0, 0, 0]",1,351.72429129993543,353.7243035999127,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",0.0,0,19,19,19,,,None,None,"[0, 0, 0]",353.7409924999811,355.7410221999744,353.7409924999811,354.74100679997355,354.724245899939,355.7243621000089,"[0, 0, 0]",1,353.7409924999811,355.7410221999744,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
7,"[-0.2, -0.2]",0.0,0,20,20,20,,,None,None,"[0, 0, 0]",355.7576326999115,357.75755959993694,355.7576326999115,356.7576827999437,356.7410114000086,357.74105259997305,"[0, 0, 0]",1,355.7576326999115,357.75755959993694,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",1.0,0,21,21,21,,,None,None,"[0, 0, 0]",357.77431649994105,359.77436699997634,357.77431649994105,358.7743776999414,358.7577560999198,359.75770829990506,"[0, 0, 0]",1,357.77431649994105,359.77436699997634,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
1,"[-0.2, 0.2]",0.0,0,22,22,22,,,None,None,"[0, 0, 0]",359.791035000002,361.79108250001445,359.791035000002,360.7910087999189,360.77439519995824,361.7743988999864,"[0, 0, 0]",1,359.791035000002,361.79108250001445,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
