	onset	duration	phase	condition
0	303.06014909991063	-285.07121333037503	cue	Right Leg
1	304.5435003999155	-286.5545646303799	movement	Right Leg
2	321.09389829984866	-303.09562195977196	cue	Left Leg
3	322.57696369988844	-304.57868735981174	movement	Left Leg
4	339.1273721999023	-321.1447037598118	cue	Right Arm
5	340.61045709997416	-322.62778865988366	movement	Right Arm
6	357.1104492000304	-339.09846058976837	rest	Rest
7	375.1607456000056	-357.16499236016534	cue	Chest
8	376.64407649985515	-358.6483232600149	movement	Chest
9	393.19445619988255	-375.19781616027467	cue	Right Face
10	394.67756189987995	-376.68092186027206	movement	Right Face
11	411.1778646998573	-393.16562648979016	rest	Rest
12	429.244744699914	-411.25448966003023	cue	Left Arm
13	430.72784950002097	-412.7375944601372	movement	Left Arm
14	447.2281762000639	-429.21538018994033	rest	Rest
15	465.278375599999	-447.2813069599215	cue	Left Face
16	466.7614893000573	-448.7644206599798	movement	Left Face
17	483.2616464998573	-465.24964168970473	rest	Rest
18	501.3117885000538	-483.31478166021407	cue	Abdomen
19	502.7950321000535	-484.79802526021376	movement	Abdomen
20	519.3452532999218	-501.34975766018033	cue	Chest
21	520.8286067999434	-502.83311116020195	movement	Chest
22	537.4120916998945	-519.4155475497246	cue	Left Arm
23	538.8954386999831	-520.8988945498131	movement	Left Arm
24	555.4458124998491	-537.4556408699136	cue	Right Leg
25	556.9288913998753	-538.9387197699398	movement	Right Leg
26	573.4292166000232	-555.4164882900659	rest	Rest
27	591.4794697999023	-573.4805360599421	cue	Abdomen
28	592.962566500064	-574.9636327601038	movement	Abdomen
29	609.5126606998965	-591.5154098600615	cue	Right Face
30	610.9960179000627	-592.9987670602277	movement	Right Face
31	627.5461518999655	-609.562313769944	cue	Left Leg
32	629.0294993999414	-611.04566126992	movement	Left Leg
33	645.5298142998945	-627.517949589761	rest	Rest
34	663.5967206999194	-645.6139305601828	cue	Right Arm
35	665.0631405999884	-647.0803504602518	movement	Right Arm
36	681.5634755999781	-663.552446590038	rest	Rest
37	699.6134587000124	-681.629584770184	cue	Left Face
38	701.0967772998847	-683.1129033700563	movement	Left Face
39	717.5971063000616	-699.5848162900656	rest	Rest
40	Condition Order: 	['Right Leg', 'Left Leg', 'Right Arm', 'Rest', 'Chest', 'Right Face', 'Rest', 'Left Arm', 'Rest', 'Left Face', 'Rest', 'Abdomen', 'Chest', 'Left Arm', 'Right Leg', 'Rest', 'Abdomen', 'Right Face', 'Left Leg', 'Rest', 'Right Arm', 'Rest', 'Left Face', 'Rest']		
