	onset	duration	rt	response	correct	attempt	condition
0	471.1499397000007	1.9832269799953792			1.0	0.0	2back
1	473.13327570000547	2.0050405899819452			1.0	0.0	2back
2	475.1499654999934	2.007555489981314	0.37204600000404753	0.0	1.0	0.0	2back
3	477.1666460999986	2.0077146899711806	0.5170598000113387	2.0	1.0	0.0	2back
4	479.1833181999973	2.007605289982166	0.5389978000021074	2.0	1.0	0.0	2back
5	481.2000057999976	2.0076522899908014	0.4837037999823224	2.0	1.0	0.0	2back
6	483.2166933999979	2.0066526900045574	0.6837066999869421	2.0	1.0	0.0	2back
7	485.23337000000174	2.0075594899826683	0.6387656000151765	2.0	1.0	0.0	2back
8	487.2500497000001	2.0074241900001653	0.4502955000207294	0.0	1.0	0.0	2back
9	489.2667472999892	2.007657089998247	0.7837087000079919	2.0	1.0	0.0	2back
10	491.2834073000122	2.007851389993448	0.8003937999892514	2.0	1.0	0.0	2back
11	493.300095100014	2.0075106900185347	0.450415500003146	0.0	1.0	0.0	2back
12	495.3167773000023	2.007629089988768	0.5004004999937024	2.0	1.0	0.0	2back
13	497.3334573000029	2.0062323899765033	0.4718507000070531	2.0	1.0	0.0	2back
14	499.3501369000005	2.007592990004923	0.4378265000123065	2.0	1.0	0.0	2back
15	501.3668343999889	2.0074865900096484	0.5003871999797411	2.0	1.0	0.0	2back
16	503.3835013000062	2.0075996899977326	0.4670656000089366	2.0	1.0	0.0	2back
17	505.40018560001045	2.007597090007039	0.48369769999408163	2.0	1.0	0.0	2back
18	507.4168660000141	2.0076007899770048	0.5337206000112928	0.0	1.0	0.0	2back
19	509.4335546999937	2.0076271899743006	0.4837068999768235	2.0	1.0	0.0	2back
20	511.4502300999884	2.0073298900097143	0.4670398000162095	2.0	1.0	0.0	2back
21	513.4669102999906	2.0077159900101833	0.8170700999908149	0.0	1.0	0.0	2back
22	515.4835951999994	2.0074545899697114	0.43867250002222136	2.0	1.0	0.0	2back
23	517.5002681000042	2.0071002899785526	0.6004000999964774	2.0	1.0	0.0	2back
24	519.516962499998	2.0077305900049396	0.3503867000108585	2.0	1.0	0.0	2back
25	521.5331208000134	2.0076287899864838	0.40092339998227544	2.0	1.0	0.0	2back
26	523.5503197000071	2.007479889987735	0.45037360000424087	0.0	1.0	0.0	2back
27	525.5669989000016	2.0075028900173493	0.36707530001876876	2.0	1.0	0.0	2back
28	527.583695999987	2.0077369899954647	0.2337194999854546	2.0	1.0	0.0	2back
29	529.6003573999915	2.007432689977577	0.20467989999451675	2.0	1.0	0.0	2back
30	score: 	100.0					
