BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,fixation.started,fixation.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,AvoidRating.response,AvoidRating.rt,AvoidRating.started,AvoidRating.stopped,RelaxRating.response,RelaxRating.rt,RelaxRating.started,RelaxRating.stopped,TaskAttentionRating.response,TaskAttentionRating.rt,TaskAttentionRating.started,TaskAttentionRating.stopped,BoredomRating.response,BoredomRating.rt,BoredomRating.started,BoredomRating.stopped,AlertnessRating.response,AlertnessRating.rt,AlertnessRating.started,AlertnessRating.stopped,PosThxRating.response,PosThxRating.rt,PosThxRating.started,PosThxRating.stopped,NegThxRating.response,NegThxRating.rt,NegThxRating.started,NegThxRating.stopped,SelfRating.response,SelfRating.rt,SelfRating.started,SelfRating.stopped,OtherRating.response,OtherRating.rt,OtherRating.started,OtherRating.stopped,ImageryRating.response,ImageryRating.rt,ImageryRating.started,ImageryRating.stopped,PresentRating.response,PresentRating.rt,PresentRating.started,PresentRating.stopped,subject number,gender,acceptMap body-site # (day1: 1-4; day2: 5-8),session,handedness,scanner,run,date,psychopyVersion,expName,frameRate,
,,,,,,,343.73512229998596,343.73512229998596,0.0,336.6460117700044,0.014911830017808825,5.012608930002898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,1,r,SK AB,1,2022_Feb_03_1142,2020.2.10,acceptmap-regulate,60.02512651712004,
,,,,,,,371.7353943999915,371.7353943999915,0.0,363.0304221700062,0.015393729991046712,5.013680629985174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,1,r,SK AB,1,2022_Feb_03_1142,2020.2.10,acceptmap-regulate,60.02512651712004,
,,,,,,,399.73559789999854,399.73559789999854,0.0,393.78042106999783,0.014585830009309575,5.0120949300180655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,1,r,SK AB,1,2022_Feb_03_1142,2020.2.10,acceptmap-regulate,60.02512651712004,
,,,,,,,427.7358390999725,427.7358390999725,0.0,420.9306068700098,0.014813829999184236,5.012528729974292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,1,r,SK AB,1,2022_Feb_03_1142,2020.2.10,acceptmap-regulate,60.02512651712004,
,,,,,,,455.73606899997685,455.73606899997685,0.0,447.09725387001527,0.014849230006802827,5.0124653299862985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,1,r,SK AB,1,2022_Feb_03_1142,2020.2.10,acceptmap-regulate,60.02512651712004,
,,,,,,,483.736313899979,483.736313899979,0.0,474.8980701700202,0.015088329993886873,5.013049230008619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,1,r,SK AB,1,2022_Feb_03_1142,2020.2.10,acceptmap-regulate,60.02512651712004,
,,,,,,,,,,,0.0145169299794361,5.011923429992748,56.419753086419774,481.61560307000764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,1,r,SK AB,1,2022_Feb_03_1142,2020.2.10,acceptmap-regulate,60.02512651712004,
,,,,,,,,,,,,,,,0.013753229985013604,None,-100.0,484.33185657000286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,1,r,SK AB,1,2022_Feb_03_1142,2020.2.10,acceptmap-regulate,60.02512651712004,
,,,,,,,,,0.0,486.98302323999815,,,,,,,,,0.014181430015014485,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,1,r,SK AB,1,2022_Feb_03_1142,2020.2.10,acceptmap-regulate,60.02512651712004,
,,,,,,,,,,,0.013006360008148476,None,,,,,,,,,0.0,489.6155283700209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,1,r,SK AB,1,2022_Feb_03_1142,2020.2.10,acceptmap-regulate,60.02512651712004,
