RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,fixation_1.started,fixation_1.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
0,1,,,,0,0,0,0,,,,,0,0,0,0,,,,,19.706252500007395,None,space,62.044786699989345,19.706252500007395,None,,,,,,,,,,,,,,,,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,None,None,None,None,[],None,None,None,None,None,None,[],[],None,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,2,"[0, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,None,None,[],None,None,None,None,None,None,[],[],None,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,6,"[0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,None,None,[],None,None,None,None,None,None,[],[],None,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,9,"[0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,None,None,0,90.53261390002444,None,90.53261390002444,None,None,None,0,1,90.53261390002444,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,3,"[0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,4,4,4,,,,,,,,,None,None,0,90.79930319997948,None,90.79930319997948,91.79931099998066,91.78263570001582,92.78263680002419,0,1,90.79930319997948,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,9,"[0.2, -0.2]",1,0,0,0,0,,,,,0,0,0,0,0,5,5,5,,,,,,,,,None,None,0,92.7993108999799,None,92.7993108999799,93.79930130002322,93.7826523000258,94.78265730000567,0,0,92.7993108999799,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,7,"[-0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,6,6,6,,,,,,,,,None,None,0,94.79933260002872,None,94.79933260002872,95.79932590003591,95.78266880003503,96.78267530002631,0,1,94.79933260002872,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,1,"[-0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,7,7,7,,,,,,,,,None,None,0,96.79934710002271,None,96.79934710002271,97.79934750002576,97.78268990002107,98.78269219998037,0,1,96.79934710002271,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,8,8,8,,,,,,,,,None,None,0,98.79939080000622,None,98.79939080000622,99.79937050002627,99.78271380002843,100.78270580002572,0,1,98.79939080000622,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,7,"[-0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,9,9,9,,,,,,,,,None,None,0,100.7993707000278,None,100.7993707000278,101.79937209998025,101.78272030001972,102.78272349998588,0,0,100.7993707000278,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,5,"[0, 0]",1,0,0,0,0,,,,,0,0,0,0,0,10,10,10,,,,,,,,,None,None,0,102.79938580002636,None,102.79938580002636,103.79940090002492,103.78272920002928,104.7827386999852,0,1,102.79938580002636,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,6,"[0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,11,11,11,,,,,,,,,None,None,0,104.7994117999915,None,104.7994117999915,105.79939980001654,105.78273859998444,106.78276889998233,0,1,104.7994117999915,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,3,"[0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,12,12,12,,,,,,,,,None,None,0,106.79942510003457,None,106.79942510003457,107.79942080000183,107.78276149998419,108.78276889998233,0,1,106.79942510003457,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,6,"[0.2, 0]",1,0,0,0,0,,,,,0,0,0,0,0,13,13,13,,,,,,,,,None,None,0,108.79944169998635,None,108.79944169998635,109.79945109999971,109.78276339999866,110.78278750000754,0,1,108.79944169998635,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,8,"[0, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,14,14,14,,,,,,,,,None,None,0,110.79944680002518,None,110.79944680002518,111.7994483000366,111.7827876000083,112.78281210002024,0,1,110.79944680002518,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,9,"[0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,15,15,15,,,,,,,,,None,None,0,112.79947710002307,None,112.79947710002307,113.7994695000234,113.78283490001922,114.78281549998792,0,1,112.79947710002307,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,9,"[0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,16,16,16,,,,,,,,,None,None,0,114.79949489998398,None,114.79949489998398,115.79949010000564,115.78283320000628,116.78283739998005,0,1,114.79949489998398,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,1,"[-0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,17,17,17,,,,,,,,,None,None,0,116.79950480000116,None,116.79950480000116,117.79949330003001,117.78284930001246,118.78285750001669,0,1,116.79950480000116,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,3,"[0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,18,18,18,,,,,,,,,None,None,0,118.79951340000844,None,118.79951340000844,119.79953230003593,119.78285140002845,120.7828673000331,0,1,118.79951340000844,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,19,19,19,,,,,,,,,None,None,0,120.79951470001834,None,120.79951470001834,121.79953670001123,121.78287970001111,122.78288499999326,0,1,120.79951470001834,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,3,"[0.2, 0.2]",1,0,0,0,0,,,,,0,0,0,0,0,20,20,20,,,,,,,,,None,None,0,122.79953389998991,None,122.79953389998991,123.7995641999878,123.782889300026,124.78289830003632,0,0,122.79953389998991,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,4,"[-0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,21,21,21,,,,,,,,,None,None,0,124.79957030003425,None,124.79957030003425,125.79958009999245,125.78290580003522,126.78285529999994,0,1,124.79957030003425,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,7,"[-0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,22,22,22,,,,,,,,,None,None,0,126.7995668000076,None,126.7995668000076,127.79959000000963,127.78293290000875,128.78292850003345,0,1,126.7995668000076,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,4,"[-0.2, 0]",1,0,0,0,0,,,,,0,0,0,0,0,23,23,23,,,,,,,,,None,None,0,128.79958659998374,None,128.79958659998374,129.79961240000557,129.78281180001795,130.78294900001492,0,0,128.79958659998374,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
0,1,4,"[-0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,24,24,24,,,,,,,,,None,None,0,130.79964530002326,None,130.79964530002326,131.7996206000098,131.78295389999403,132.78296620002948,0,1,130.79964530002326,None,,,1002,m,7,r,MS,2022_Feb_10_2157,WASABI Nback,2020.2.10,59.9973961001666,
