square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,response.click,response.rt_left,response.rt_right,response_2.rt_left,response_2.rt_right,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
6,"[0.2, 0]",None,0,0,0,0,,,,,1001.6795771000907,None,1002.7129851998761,None,1002.7129851998761,1003.7129469001666,1003.696303000208,None,1,-0.13703703703703704,0.08888888888888889,"[0, 0, 0]",0,0,1002.7129851998761,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,23,r,CIB,2021_Sep_07_1054,2020.2.10,distractmap1,59.99818811076909,"['Left Arm', 'Chest', 'Right Face', 'Right Leg']",
6,"[0.2, 0]",1,0,1,1,1,,,,,,,1004.6962318001315,None,1004.6962318001315,1005.6963193002157,1005.6796254999936,1006.6796288001351,1,-0.13703703703703704,0.08888888888888889,"[0, 0, 0]",0,0,1004.6962318001315,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,23,r,CIB,2021_Sep_07_1054,2020.2.10,distractmap1,59.99818811076909,"['Left Arm', 'Chest', 'Right Face', 'Right Leg']",
2,"[0, 0.2]",0,0,2,2,2,,,,,,,1006.6963186999783,None,1006.6963186999783,1007.6963285002857,1007.6796559998766,1008.6796308001503,1,-0.13703703703703704,0.08888888888888889,"[0, 0, 0]",0,0,1006.6963186999783,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,23,r,CIB,2021_Sep_07_1054,2020.2.10,distractmap1,59.99818811076909,"['Left Arm', 'Chest', 'Right Face', 'Right Leg']",
9,"[0.2, -0.2]",0,0,3,3,3,,,,,,,1008.6963243000209,None,1008.6963243000209,1009.696364399977,1009.6796593000181,1010.6796631002799,1,-0.13703703703703704,0.08888888888888889,"[0, 0, 0]",0,0,1008.6963243000209,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,23,r,CIB,2021_Sep_07_1054,2020.2.10,distractmap1,59.99818811076909,"['Left Arm', 'Chest', 'Right Face', 'Right Leg']",
9,"[0.2, -0.2]",1,0,4,4,4,,,,,,,1010.6963356998749,None,1010.6963356998749,1011.6963331000879,1011.6796694002114,1012.679663900286,1,-0.13703703703703704,0.08888888888888889,"[0, 0, 0]",0,0,1010.6963356998749,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,23,r,CIB,2021_Sep_07_1054,2020.2.10,distractmap1,59.99818811076909,"['Left Arm', 'Chest', 'Right Face', 'Right Leg']",
6,"[0.2, 0]",0,0,5,5,5,,,,,,,1012.6963404999115,None,1012.6963404999115,1013.696362900082,1013.6796873002313,1014.6796745001338,1,-0.13703703703703704,0.08888888888888889,"[0, 0, 0]",0,0,1012.6963404999115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,23,r,CIB,2021_Sep_07_1054,2020.2.10,distractmap1,59.99818811076909,"['Left Arm', 'Chest', 'Right Face', 'Right Leg']",
4,"[-0.2, 0]",0,0,6,6,6,,,,,,,1014.6963720000349,None,1014.6963720000349,1015.6963653001003,1015.6796842999756,1016.6796912001446,1,-0.13703703703703704,0.08888888888888889,"[0, 0, 0]",0,0,1014.6963720000349,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,23,r,CIB,2021_Sep_07_1054,2020.2.10,distractmap1,59.99818811076909,"['Left Arm', 'Chest', 'Right Face', 'Right Leg']",
3,"[0.2, 0.2]",0,0,7,7,7,,,,,,,1016.6963689001277,None,1016.6963689001277,1017.6963849002495,1017.6797023001127,1018.6797124999575,1,-0.13703703703703704,0.08888888888888889,"[0, 0, 0]",0,0,1016.6963689001277,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,23,r,CIB,2021_Sep_07_1054,2020.2.10,distractmap1,59.99818811076909,"['Left Arm', 'Chest', 'Right Face', 'Right Leg']",
3,"[0.2, 0.2]",1,0,8,8,8,,,,,,,1018.6963901999407,None,1018.6963901999407,1019.6964060999453,1019.6797088999301,1020.6797567000613,1,-0.13703703703703704,0.08888888888888889,"[0, 0, 0]",0,0,1018.6963901999407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,23,r,CIB,2021_Sep_07_1054,2020.2.10,distractmap1,59.99818811076909,"['Left Arm', 'Chest', 'Right Face', 'Right Leg']",
8,"[0, -0.2]",0,0,9,9,9,,,,,,,1020.696411000099,None,1020.696411000099,1021.6964048999362,1021.6797772999853,1022.6797759002075,1,-0.13703703703703704,0.08888888888888889,"[0, 0, 0]",0,0,1020.696411000099,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,23,r,CIB,2021_Sep_07_1054,2020.2.10,distractmap1,59.99818811076909,"['Left Arm', 'Chest', 'Right Face', 'Right Leg']",
