15.7237 	WARNING 	Requested an unavailable screen number - using first available.
156.0411 	DATA 	Keypress: 5
156.5073 	DATA 	Keypress: 5
156.9584 	DATA 	Keypress: 5
157.4160 	DATA 	Keypress: 5
157.8750 	DATA 	Keypress: 5
158.3319 	DATA 	Keypress: 5
158.7906 	DATA 	Keypress: 5
159.2739 	DATA 	Keypress: 5
159.7074 	DATA 	Keypress: 5
160.1907 	DATA 	Keypress: 5
160.6400 	DATA 	Keypress: 5
161.1076 	DATA 	Keypress: 5
161.5580 	DATA 	Keypress: 5
162.0157 	DATA 	Keypress: 5
162.4744 	DATA 	Keypress: 5
162.9323 	DATA 	Keypress: 5
163.3916 	DATA 	Keypress: 5
163.8746 	DATA 	Keypress: 5
164.3075 	DATA 	Keypress: 5
164.7907 	DATA 	Keypress: 5
165.2406 	DATA 	Keypress: 5
165.7079 	DATA 	Keypress: 5
166.1577 	DATA 	Keypress: 5
166.6161 	DATA 	Keypress: 5
167.0741 	DATA 	Keypress: 5
167.5328 	DATA 	Keypress: 5
167.9914 	DATA 	Keypress: 5
168.4735 	DATA 	Keypress: 5
168.9326 	DATA 	Keypress: 5
169.3907 	DATA 	Keypress: 5
169.8411 	DATA 	Keypress: 5
170.3075 	DATA 	Keypress: 5
170.7573 	DATA 	Keypress: 5
171.2160 	DATA 	Keypress: 5
171.6745 	DATA 	Keypress: 5
172.1319 	DATA 	Keypress: 5
172.5915 	DATA 	Keypress: 5
173.0745 	DATA 	Keypress: 5
173.5073 	DATA 	Keypress: 5
173.9910 	DATA 	Keypress: 5
174.4407 	DATA 	Keypress: 5
174.9078 	DATA 	Keypress: 5
175.3578 	DATA 	Keypress: 5
175.8161 	DATA 	Keypress: 5
176.2742 	DATA 	Keypress: 5
176.7325 	DATA 	Keypress: 5
177.1904 	DATA 	Keypress: 5
177.6747 	DATA 	Keypress: 5
178.1081 	DATA 	Keypress: 5
178.5914 	DATA 	Keypress: 5
179.0406 	DATA 	Keypress: 5
179.5078 	DATA 	Keypress: 5
179.9568 	DATA 	Keypress: 5
180.4159 	DATA 	Keypress: 5
180.8746 	DATA 	Keypress: 5
181.3325 	DATA 	Keypress: 5
181.7918 	DATA 	Keypress: 5
182.2741 	DATA 	Keypress: 5
182.7073 	DATA 	Keypress: 5
183.1907 	DATA 	Keypress: 5
183.6400 	DATA 	Keypress: 5
184.1076 	DATA 	Keypress: 5
184.5570 	DATA 	Keypress: 5
185.0156 	DATA 	Keypress: 5
185.4741 	DATA 	Keypress: 5
185.9323 	DATA 	Keypress: 5
186.3915 	DATA 	Keypress: 5
186.8745 	DATA 	Keypress: 5
187.3080 	DATA 	Keypress: 5
187.7916 	DATA 	Keypress: 5
188.2405 	DATA 	Keypress: 5
188.7083 	DATA 	Keypress: 5
189.1576 	DATA 	Keypress: 5
189.6155 	DATA 	Keypress: 5
190.0747 	DATA 	Keypress: 5
190.5322 	DATA 	Keypress: 5
190.9908 	DATA 	Keypress: 5
191.4751 	DATA 	Keypress: 5
191.9329 	DATA 	Keypress: 5
192.3910 	DATA 	Keypress: 5
192.8414 	DATA 	Keypress: 5
193.3082 	DATA 	Keypress: 5
193.7574 	DATA 	Keypress: 5
194.2156 	DATA 	Keypress: 5
194.6752 	DATA 	Keypress: 5
195.1324 	DATA 	Keypress: 5
195.5919 	DATA 	Keypress: 5
196.0749 	DATA 	Keypress: 5
196.5073 	DATA 	Keypress: 5
196.9909 	DATA 	Keypress: 5
197.4414 	DATA 	Keypress: 5
197.9083 	DATA 	Keypress: 5
198.3583 	DATA 	Keypress: 5
198.8158 	DATA 	Keypress: 5
199.2747 	DATA 	Keypress: 5
199.7329 	DATA 	Keypress: 5
200.1915 	DATA 	Keypress: 5
200.6747 	DATA 	Keypress: 5
201.1329 	DATA 	Keypress: 5
201.5917 	DATA 	Keypress: 5
202.0414 	DATA 	Keypress: 5
202.5081 	DATA 	Keypress: 5
202.9571 	DATA 	Keypress: 5
203.4162 	DATA 	Keypress: 5
203.8750 	DATA 	Keypress: 5
204.3320 	DATA 	Keypress: 5
204.7918 	DATA 	Keypress: 5
205.2749 	DATA 	Keypress: 5
205.7083 	DATA 	Keypress: 5
206.1912 	DATA 	Keypress: 5
206.6411 	DATA 	Keypress: 5
207.1074 	DATA 	Keypress: 5
207.5580 	DATA 	Keypress: 5
208.0160 	DATA 	Keypress: 5
208.4745 	DATA 	Keypress: 5
208.9326 	DATA 	Keypress: 5
209.3914 	DATA 	Keypress: 5
209.8741 	DATA 	Keypress: 5
210.3088 	DATA 	Keypress: 5
210.7910 	DATA 	Keypress: 5
211.2406 	DATA 	Keypress: 5
211.7074 	DATA 	Keypress: 5
212.1573 	DATA 	Keypress: 5
212.6163 	DATA 	Keypress: 5
213.0749 	DATA 	Keypress: 5
213.5335 	DATA 	Keypress: 5
213.9919 	DATA 	Keypress: 5
214.4754 	DATA 	Keypress: 5
214.9086 	DATA 	Keypress: 5
215.3914 	DATA 	Keypress: 5
215.8405 	DATA 	Keypress: 5
216.3083 	DATA 	Keypress: 5
216.7580 	DATA 	Keypress: 5
217.2165 	DATA 	Keypress: 5
217.6748 	DATA 	Keypress: 5
218.1335 	DATA 	Keypress: 5
218.5912 	DATA 	Keypress: 5
219.0754 	DATA 	Keypress: 5
219.5079 	DATA 	Keypress: 5
219.9912 	DATA 	Keypress: 5
220.4413 	DATA 	Keypress: 5
220.9080 	DATA 	Keypress: 5
221.3574 	DATA 	Keypress: 5
221.8161 	DATA 	Keypress: 5
222.2749 	DATA 	Keypress: 5
222.7330 	DATA 	Keypress: 5
223.1918 	DATA 	Keypress: 5
223.6746 	DATA 	Keypress: 5
224.1334 	DATA 	Keypress: 5
224.5920 	DATA 	Keypress: 5
225.0419 	DATA 	Keypress: 5
225.5085 	DATA 	Keypress: 5
225.9573 	DATA 	Keypress: 5
226.4161 	DATA 	Keypress: 5
226.8744 	DATA 	Keypress: 5
227.3332 	DATA 	Keypress: 5
227.7919 	DATA 	Keypress: 5
228.2747 	DATA 	Keypress: 5
228.7087 	DATA 	Keypress: 5
229.1913 	DATA 	Keypress: 5
229.6421 	DATA 	Keypress: 5
230.1078 	DATA 	Keypress: 5
230.5580 	DATA 	Keypress: 5
231.0166 	DATA 	Keypress: 5
231.4748 	DATA 	Keypress: 5
231.9334 	DATA 	Keypress: 5
232.3924 	DATA 	Keypress: 5
232.8743 	DATA 	Keypress: 5
233.3328 	DATA 	Keypress: 5
233.7922 	DATA 	Keypress: 5
234.2423 	DATA 	Keypress: 5
234.7079 	DATA 	Keypress: 5
235.1578 	DATA 	Keypress: 5
235.6251 	DATA 	Keypress: 5
236.0749 	DATA 	Keypress: 5
236.5325 	DATA 	Keypress: 5
236.9921 	DATA 	Keypress: 5
237.4749 	DATA 	Keypress: 5
237.9332 	DATA 	Keypress: 5
238.3913 	DATA 	Keypress: 5
