	condition	correct	duration	mouseclick	onset	rt	score	SID	date	gender
0	Practice 0-back	1.0	1.9711929799959762	0.0	295.3759840999992	0.6787656000014977	3.3333333333333335	999	2022_Sep_07_2200	m
1	Practice 0-back	1.0	1.97790299000917	0.0	297.36960250000266	0.334721700004593	6.666666666666667	999	2022_Sep_07_2200	m
2	Practice 0-back	1.0	1.9711913899955107	0.0	299.37134499999956	0.331609999993816	10.0	999	2022_Sep_07_2200	m
3	Practice 0-back	1.0	1.9808149800010142	0.0	301.3726128000053	0.2944621999995434	13.333333333333334	999	2022_Sep_07_2200	m
4	Practice 0-back	1.0	1.9792274800056475	0.0	303.37184840000555	0.3604863000000478	16.666666666666668	999	2022_Sep_07_2200	m
5	Practice 0-back	1.0	1.96926669000095	0.0	305.3662125000046	0.2805969999972149	20.0	999	2022_Sep_07_2200	m
6	Practice 0-back	1.0	1.9721559899990098	0.0	307.3638787000018	0.21459410000534263	23.333333333333332	999	2022_Sep_07_2200	m
7	Practice 0-back	1.0	1.9753486900008284	0.0	309.3603371000063	0.3358525000003283	26.666666666666668	999	2022_Sep_07_2200	m
8	Practice 0-back	1.0	1.9980399800042505	0.0	311.36426120000397	0.4607927000033669	30.0	999	2022_Sep_07_2200	m
9	Practice 0-back	1.0	1.9724414900047123	0.0	313.3754110000009	0.44813669999712147	33.333333333333336	999	2022_Sep_07_2200	m
10	Practice 0-back	0.0	1.9743553799999063		315.3813761000056		33.333333333333336	999	2022_Sep_07_2200	m
11	Practice 0-back	1.0	1.9779168799941544	0	317.37746130000596	0.12920479999593226	36.666666666666664	999	2022_Sep_07_2200	m
12	Practice 0-back	1.0	1.9789036799993482	0	319.37539359999937	0.059813599997141864	40.0	999	2022_Sep_07_2200	m
13	Practice 0-back	1.0	1.9808646800011047	0	321.372391900004	1.3651242999985698	43.333333333333336	999	2022_Sep_07_2200	m
14	Practice 0-back	1.0	1.9678072899987455	0	323.3691734000022	0.746181800001068	46.666666666666664	999	2022_Sep_07_2200	m
15	Practice 0-back	1.0	1.9655245899921283	0	325.36923899999965	0.1612941999992472	50.0	999	2022_Sep_07_2200	m
16	Practice 0-back	1.0	1.962021180006559	0	327.3783260000055	0.8532615000003716	53.333333333333336	999	2022_Sep_07_2200	m
17	Practice 0-back	1.0	1.966792590006662	0	329.3652094000063	0.5619011999951908	56.666666666666664	999	2022_Sep_07_2200	m
18	Practice 0-back	1.0	1.997001879994059	0	331.36459979999927	0.42762670000229264	60.0	999	2022_Sep_07_2200	m
19	Practice 0-back	1.0	1.9700514899959671	0	333.37642900000355	0.3485755000001518	63.333333333333336	999	2022_Sep_07_2200	m
20	Practice 0-back	1.0	1.9702851900001406	0	335.3749880000032	0.3637444000050891	66.66666666666667	999	2022_Sep_07_2200	m
21	Practice 0-back	1.0	1.973201289998542	0	337.3722422999999	0.46479309999995166	70.0	999	2022_Sep_07_2200	m
22	Practice 0-back	1.0	1.9816797799940105	0	339.3754063000015	0.42669560000649653	73.33333333333333	999	2022_Sep_07_2200	m
23	Practice 0-back	1.0	1.9710093899993808	0	341.37005879999924	0.7809774999986985	76.66666666666667	999	2022_Sep_07_2200	m
24	Practice 0-back	1.0	1.9783723799992003	0	343.3728704000023	0.7101992999960203	80.0	999	2022_Sep_07_2200	m
25	Practice 0-back	1.0	1.9652047899944591	0	345.36898120000114	0.38234579999698326	83.33333333333333	999	2022_Sep_07_2200	m
26	Practice 0-back	1.0	1.9718693899994832	0	347.3638468000063	0.11610810000274796	86.66666666666667	999	2022_Sep_07_2200	m
27	Practice 0-back	1.0	1.967511379996722	0	349.3734031999993	0.18775779999850783	90.0	999	2022_Sep_07_2200	m
28	Practice 0-back	1.0	1.981701080003404	0	351.36482740000065	0.46143369999481365	93.33333333333333	999	2022_Sep_07_2200	m
29	Practice 0-back	1.0	1.9822393899958115	0	353.3621106999999	0.4125123999983771	96.66666666666667	999	2022_Sep_07_2200	m
