square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,response.rt_left,response.rt_right,response_2.rt_left,response_2.rt_right,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
6,"[0.2, 0]",None,0,0,0,0,,,,,62.4184113999363,None,63.45175460004248,None,63.45175460004248,64.45175940007903,64.43509949999861,None,1,0.012962962962962963,0.10740740740740741,"[0, 0, 0]",0,0,63.45175460004248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,1,18,L,MS,2021_Sep_03_1432,2020.2.10,distractmap1,60.00128402328517,"['Right Face', 'Left Leg', 'Right Arm', 'Right Leg']",
6,"[0.2, 0]",1,0,1,1,1,,,,,,,65.4350895001553,None,65.4350895001553,66.43510350002907,66.41842740005814,67.41844120016322,0,0.012962962962962963,0.10740740740740741,"[0, 0, 0]",0,0,65.4350895001553,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,1,18,L,MS,2021_Sep_03_1432,2020.2.10,distractmap1,60.00128402328517,"['Right Face', 'Left Leg', 'Right Arm', 'Right Leg']",
2,"[0, 0.2]",0,0,2,2,2,,,,,,,67.43510839994997,None,67.43510839994997,68.43511620000936,68.41844930010848,69.41843980015256,0,0.012962962962962963,0.10740740740740741,"[0, 0, 0]",0,0,67.43510839994997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,1,18,L,MS,2021_Sep_03_1432,2020.2.10,distractmap1,60.00128402328517,"['Right Face', 'Left Leg', 'Right Arm', 'Right Leg']",
9,"[0.2, -0.2]",0,0,3,3,3,,,,,,,69.43513009999879,None,69.43513009999879,70.43512729997747,70.4183447000105,71.41846540011466,0,0.012962962962962963,0.10740740740740741,"[0, 0, 0]",0,0,69.43513009999879,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,1,18,L,MS,2021_Sep_03_1432,2020.2.10,distractmap1,60.00128402328517,"['Right Face', 'Left Leg', 'Right Arm', 'Right Leg']",
9,"[0.2, -0.2]",1,0,4,4,4,,,,,,,71.43515060003847,None,71.43515060003847,72.4350080001168,72.41849850001745,73.41847530007362,0,0.012962962962962963,0.10740740740740741,"[0, 0, 0]",0,0,71.43515060003847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,1,18,L,MS,2021_Sep_03_1432,2020.2.10,distractmap1,60.00128402328517,"['Right Face', 'Left Leg', 'Right Arm', 'Right Leg']",
6,"[0.2, 0]",0,0,5,5,5,,,,,,,73.43516610004008,None,73.43516610004008,74.4351703999564,74.41851840005256,75.41849160008132,0,0.012962962962962963,0.10740740740740741,"[0, 0, 0]",0,0,73.43516610004008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,1,18,L,MS,2021_Sep_03_1432,2020.2.10,distractmap1,60.00128402328517,"['Right Face', 'Left Leg', 'Right Arm', 'Right Leg']",
4,"[-0.2, 0]",0,0,6,6,6,,,,,,,75.43516710004769,None,75.43516710004769,76.43514860002324,76.418519299943,77.41851310012862,0,0.012962962962962963,0.10740740740740741,"[0, 0, 0]",0,0,75.43516710004769,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,1,18,L,MS,2021_Sep_03_1432,2020.2.10,distractmap1,60.00128402328517,"['Right Face', 'Left Leg', 'Right Arm', 'Right Leg']",
3,"[0.2, 0.2]",0,0,7,7,7,,,,,,,77.43519140011631,None,77.43519140011631,78.43519310001284,78.41851360001601,79.41854420001619,0,0.012962962962962963,0.10740740740740741,"[0, 0, 0]",0,0,77.43519140011631,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,1,18,L,MS,2021_Sep_03_1432,2020.2.10,distractmap1,60.00128402328517,"['Right Face', 'Left Leg', 'Right Arm', 'Right Leg']",
3,"[0.2, 0.2]",1,0,8,8,8,,,,,,,79.4352108000312,None,79.4352108000312,80.43520270008594,80.4185373999644,None,1,0.012962962962962963,0.10740740740740741,"[0, 0, 0]",0,0,79.4352108000312,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,1,18,L,MS,2021_Sep_03_1432,2020.2.10,distractmap1,60.00128402328517,"['Right Face', 'Left Leg', 'Right Arm', 'Right Leg']",
8,"[0, -0.2]",0,0,9,9,9,,,,,,,81.41856210003607,None,81.41856210003607,82.4185707999859,82.40188840008341,83.40189810004085,0,0.012962962962962963,0.10740740740740741,"[0, 0, 0]",0,0,81.41856210003607,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,1,18,L,MS,2021_Sep_03_1432,2020.2.10,distractmap1,60.00128402328517,"['Right Face', 'Left Leg', 'Right Arm', 'Right Leg']",
