BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,fixation_1.started,fixation_1.stopped,fixation_rest.started,fixation_rest.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
7.968162500066683,7.968162500066683,None,space,0.7810245999135077,7.968162500066683,None,36.43496560002677,None,16.434975600102916,None,50.09259259259259,37.466061169980094,,,999,m,2,99,r,TEST,49,49,2022_Jul_01_1427,2020.2.10,distractmap2,59.65184799776735,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
,,,,,,,71.45173650002107,None,51.45165490009822,None,50.0,75.9995090700686,0.015071630012243986,5.012737629935145,999,m,2,99,r,TEST,49,49,2022_Jul_01_1427,2020.2.10,distractmap2,59.65184799776735,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
,,,,,,,106.46895730006509,None,86.46863710018806,None,50.0,109.01680717011914,0.015153429936617613,5.0132988300174475,999,m,2,99,r,TEST,49,49,2022_Jul_01_1427,2020.2.10,distractmap2,59.65184799776735,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
,,,,,,,231.4867064000573,None,211.48641150002368,None,50.0,234.03458917024545,0.01479832991026342,5.012599529931322,999,m,2,99,r,TEST,49,49,2022_Jul_01_1427,2020.2.10,distractmap2,59.65184799776735,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
,,,,,,,266.50366220017895,None,246.50341520016082,None,50.0,271.0497105701361,0.014782629907131195,5.012367029907182,999,m,2,99,r,TEST,49,49,2022_Jul_01_1427,2020.2.10,distractmap2,59.65184799776735,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
,,,,,,,301.5207243000623,None,281.52029700018466,None,50.0,306.06866417010315,0.016687029972672462,5.016028529964387,999,m,2,99,r,TEST,49,49,2022_Jul_01_1427,2020.2.10,distractmap2,59.65184799776735,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
,,,,,,,426.5382113000378,None,406.5381112000905,None,50.0,433.08693317021243,0.014655629871413112,5.012261729920283,999,m,2,99,r,TEST,49,49,2022_Jul_01_1427,2020.2.10,distractmap2,59.65184799776735,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
,,,,,,,461.5552492002025,None,441.55511249997653,None,50.0,468.1014833697118,0.014393329853191972,5.011944929836318,999,m,2,99,r,TEST,49,49,2022_Jul_01_1427,2020.2.10,distractmap2,59.65184799776735,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
,,,,,,,496.57220940012485,None,476.5720643000677,None,50.0,501.1200225702487,0.016648730263113976,5.016163830179721,999,m,2,99,r,TEST,49,49,2022_Jul_01_1427,2020.2.10,distractmap2,59.65184799776735,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
,,,,,,,591.5730761000887,None,571.5728662000038,None,,,0.015164529904723167,5.013324229978025,,,,,,,,,,,,,,
