square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,response.click,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
4,"[-0.2, 0]",0,0,12,12,12,,,,,,,217.67432960006408,None,217.67432960006408,218.67439790000208,218.65771430009045,219.65766740008257,0,0.09027777777777778,0.3958333333333333,"[0, 0, 0]",0,0,217.67432960006408,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
4,"[-0.2, 0]",1,0,13,13,13,,,,,,,219.67436489998363,None,219.67436489998363,220.67436970002018,220.6576753000263,221.6577284000814,0,0.09027777777777778,0.3958333333333333,"[0, 0, 0]",0,0,219.67436489998363,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
8,"[0, -0.2]",0,0,14,14,14,,,,,,,221.67437410005368,None,221.67437410005368,222.67428230005316,222.65760050015524,223.65766780008562,0,0.09027777777777778,0.3958333333333333,"[0, 0, 0]",0,0,221.67437410005368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
5,"[0, 0]",0,0,15,15,15,,,,,,,223.6743187000975,None,223.6743187000975,224.67436800012365,224.65773340011947,225.65772769995965,0,0.09027777777777778,0.3958333333333333,"[0, 0, 0]",0,0,223.6743187000975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
5,"[0, 0]",1,0,16,16,16,,,,,,,225.67438900005072,None,225.67438900005072,226.67444400000386,226.65773049998097,227.6577755000908,0,0.09027777777777778,0.3958333333333333,"[0, 0, 0]",0,0,225.67438900005072,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
1,"[-0.2, 0.2]",0,0,17,17,17,,,,,,,227.67439409997314,None,227.67439409997314,228.6744129001163,228.65775150014088,229.65775670018047,0,0.09027777777777778,0.3958333333333333,"[0, 0, 0]",0,0,227.67439409997314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
3,"[0.2, 0.2]",0,0,18,18,18,,,,,,,229.67441199999303,None,229.67441199999303,230.67442210018635,230.6578059999738,231.65778260002844,0,0.09027777777777778,0.3958333333333333,"[0, 0, 0]",0,0,229.67441199999303,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
6,"[0.2, 0]",0,0,19,19,19,,,,,,,231.67443710006773,None,231.67443710006773,232.67443350004032,232.65779300010763,233.6577284000814,0,0.09027777777777778,0.3958333333333333,"[0, 0, 0]",0,0,231.67443710006773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
1,"[-0.2, 0.2]",0,0,20,20,20,,,,,,,233.67443560017273,None,233.67443560017273,234.67444790014997,234.65781310014427,235.6578324001748,0,0.09027777777777778,0.3958333333333333,"[0, 0, 0]",0,0,233.67443560017273,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
1,"[-0.2, 0.2]",1,0,21,21,21,,,,,,,235.67444870015606,None,235.67444870015606,236.67447119997814,236.65783479996026,237.65783350006677,0,0.09027777777777778,0.3958333333333333,"[0, 0, 0]",0,0,235.67444870015606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Sep_03_1118,2020.2.10,distractmap2,59.84916813454082,"['Left Arm', 'Right Arm', 'Right Face', 'Abdomen']",
