square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
4,"[-0.2, 0]",0,0,12,12,12,,,,,,,84.35189510008786,None,84.35189510008786,85.35206679999828,85.33533530007116,86.33537169999909,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,84.35189510008786,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
4,"[-0.2, 0]",1,0,13,13,13,,,,,,,86.35199670004658,None,86.35199670004658,87.35208470001817,87.33534790005069,88.33535619999748,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,86.35199670004658,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
8,"[0, -0.2]",0,0,14,14,14,,,,,,,88.35206360009033,None,88.35206360009033,89.3520942000905,89.335341900005,90.33537179999985,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,88.35206360009033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
5,"[0, 0]",0,0,15,15,15,,,,,,,90.35208270000294,None,90.35208270000294,91.35213800007477,91.33540870004799,92.33538810000755,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,90.35208270000294,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
5,"[0, 0]",1,0,16,16,16,,,,,,,92.35207010002341,None,92.35207010002341,93.35216160002165,93.33542220003437,94.33542090002447,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,92.35207010002341,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
1,"[-0.2, 0.2]",0,0,17,17,17,,,,,,,94.35208990005776,None,94.35208990005776,95.35210830008145,95.33543890004512,96.33546060009394,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,94.35208990005776,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
3,"[0.2, 0.2]",0,0,18,18,18,,,,,,,96.35211120010354,None,96.35211120010354,97.35210570006166,97.33539320004638,98.33539150003344,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,96.35211120010354,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
6,"[0.2, 0]",0,0,19,19,19,,,,,,,98.35210940008983,None,98.35210940008983,99.35219230002258,99.33544990001246,100.33543370000552,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,98.35210940008983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
1,"[-0.2, 0.2]",0,0,20,20,20,,,,,,,100.35207510006148,None,100.35207510006148,101.35216870007571,101.33545470004901,102.3354353000177,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,100.35207510006148,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
1,"[-0.2, 0.2]",1,0,21,21,21,,,,,,,102.3522735000588,None,102.3522735000588,103.35224080004264,103.33546390000265,104.33543670002837,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,102.3522735000588,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
1,"[-0.2, 0.2]",1,0,22,22,22,,,,,,,104.3522075000219,None,104.3522075000219,105.35220280010253,105.33553120004945,106.33564639999531,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,104.3522075000219,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
3,"[0.2, 0.2]",0,0,23,23,23,,,,,,,106.35237900004722,None,106.35237900004722,107.35238769999705,107.33571540005505,108.335498200031,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,106.35237900004722,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
2,"[0, 0.2]",0,0,24,24,24,,,,,,,108.3522184001049,None,108.3522184001049,109.35222260002047,109.33551980007906,110.33551820006687,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,108.3522184001049,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
1,"[-0.2, 0.2]",0,0,25,25,25,,,,,,,110.35221290006302,None,110.35221290006302,111.35224950010888,111.33557130000554,112.33553020004183,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,110.35221290006302,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
