BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,fixation.started,fixation.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,AvoidRating.response,AvoidRating.rt,AvoidRating.started,AvoidRating.stopped,RelaxRating.response,RelaxRating.rt,RelaxRating.started,RelaxRating.stopped,TaskAttentionRating.response,TaskAttentionRating.rt,TaskAttentionRating.started,TaskAttentionRating.stopped,BoredomRating.response,BoredomRating.rt,BoredomRating.started,BoredomRating.stopped,AlertnessRating.response,AlertnessRating.rt,AlertnessRating.started,AlertnessRating.stopped,PosThxRating.response,PosThxRating.rt,PosThxRating.started,PosThxRating.stopped,NegThxRating.response,NegThxRating.rt,NegThxRating.started,NegThxRating.stopped,SelfRating.response,SelfRating.rt,SelfRating.started,SelfRating.stopped,OtherRating.response,OtherRating.rt,OtherRating.started,OtherRating.stopped,ImageryRating.response,ImageryRating.rt,ImageryRating.started,ImageryRating.stopped,PresentRating.response,PresentRating.rt,PresentRating.started,PresentRating.stopped,subject number,gender,acceptMap body-site # (day1: 1-4; day2: 5-8),acceptMap (1)pre- or (2)post-Experience (1 or 2),session,handedness,scanner,run,date,psychopyVersion,expName,frameRate,
33.343219600006705,33.343219600006705,None,space,2.192182700004196,33.343219600006705,None,82.04362500002026,None,33.395061728395056,60.82489494996844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,2,1,r,SK AB,1,2022_Feb_03_1154,2020.2.10,acceptmap-post-exp,60.014859673631086,
,,,,,,,110.04386540001724,110.04386540001724,37.28395061728395,86.82635285001015,0.016646150033921003,5.0162557500298135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,2,1,r,SK AB,1,2022_Feb_03_1154,2020.2.10,acceptmap-post-exp,60.014859673631086,
,,,,,,,138.0441214000166,138.0441214000166,0.0,111.39407094998751,0.01536955000483431,5.01368745000218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,2,1,r,SK AB,1,2022_Feb_03_1154,2020.2.10,acceptmap-post-exp,60.014859673631086,
,,,,,,,166.0443293999997,166.0443293999997,0.0,144.82746354996925,0.014579150010831654,5.012043350026943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,2,1,r,SK AB,1,2022_Feb_03_1154,2020.2.10,acceptmap-post-exp,60.014859673631086,
,,,,,,,194.04459180001868,194.04459180001868,0.0,168.8274036500079,0.014807350031333044,5.012576850043843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,2,1,r,SK AB,1,2022_Feb_03_1154,2020.2.10,acceptmap-post-exp,60.014859673631086,
,,,,,,,222.0448241000122,222.0448241000122,0.0,196.82745914999396,0.015054649993544444,5.013062049984001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,2,1,r,SK AB,1,2022_Feb_03_1154,2020.2.10,acceptmap-post-exp,60.014859673631086,
,,,,,,,250.0450686000113,250.0450686000113,0.0,223.7450673499843,0.015254950005328283,5.013519450003514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,2,1,r,SK AB,1,2022_Feb_03_1154,2020.2.10,acceptmap-post-exp,60.014859673631086,
,,,,,,,278.04532920001657,278.04532920001657,0.0,253.81172345002415,0.014561550022335723,5.011961150012212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,2,1,r,SK AB,1,2022_Feb_03_1154,2020.2.10,acceptmap-post-exp,60.014859673631086,
,,,,,,,,,,,0.014801249984884635,5.012403649976477,41.111111111111114,261.6790241499839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,2,1,r,SK AB,1,2022_Feb_03_1154,2020.2.10,acceptmap-post-exp,60.014859673631086,
,,,,,,,,,,,,,,,0.014256050024414435,None,-100.0,265.4455931499833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,2,1,r,SK AB,1,2022_Feb_03_1154,2020.2.10,acceptmap-post-exp,60.014859673631086,
,,,,,,,,,0.0,267.79720530004124,,,,,,,,,0.014401650027139112,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,2,1,r,SK AB,1,2022_Feb_03_1154,2020.2.10,acceptmap-post-exp,60.014859673631086,
,,,,,,,,,,,0.012779299955582246,None,,,,,,,,,2.592592592592591,271.7626080499904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,2,1,r,SK AB,1,2022_Feb_03_1154,2020.2.10,acceptmap-post-exp,60.014859673631086,
,,,,,,,,,,,,,,,,,,,,,,,0.014112550008576363,None,72.09876543209876,273.87958264999907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,2,1,r,SK AB,1,2022_Feb_03_1154,2020.2.10,acceptmap-post-exp,60.014859673631086,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01382115000160411,None,14.135802469135802,279.7792210500047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,2,1,r,SK AB,1,2022_Feb_03_1154,2020.2.10,acceptmap-post-exp,60.014859673631086,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014216849987860769,None,93.58024691358024,281.71232434999547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,2,1,r,SK AB,1,2022_Feb_03_1154,2020.2.10,acceptmap-post-exp,60.014859673631086,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014487450011074543,None,-42.222222222222214,284.5121350499976,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,2,1,r,SK AB,1,2022_Feb_03_1154,2020.2.10,acceptmap-post-exp,60.014859673631086,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014689050003653392,None,-22.222222222222214,288.9964256499952,,,,,,,,,,,,,,,,,,,,,,,1,M,1,2,1,r,SK AB,1,2022_Feb_03_1154,2020.2.10,acceptmap-post-exp,60.014859673631086,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0137603500043042,None,19.75308641975309,291.5959592500003,,,,,,,,,,,,,,,,,,,1,M,1,2,1,r,SK AB,1,2022_Feb_03_1154,2020.2.10,acceptmap-post-exp,60.014859673631086,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014246150007238612,None,100.0,294.09594484997797,,,,,,,,,,,,,,,1,M,1,2,1,r,SK AB,1,2022_Feb_03_1154,2020.2.10,acceptmap-post-exp,60.014859673631086,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014312250015791506,None,-52.22222222222222,296.16262094996637,,,,,,,,,,,1,M,1,2,1,r,SK AB,1,2022_Feb_03_1154,2020.2.10,acceptmap-post-exp,60.014859673631086,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014322950039058924,None,29.012345679012356,302.9796371499833,,,,,,,1,M,1,2,1,r,SK AB,1,2022_Feb_03_1154,2020.2.10,acceptmap-post-exp,60.014859673631086,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014013950014486909,None,100.0,306.04668914998183,,,1,M,1,2,1,r,SK AB,1,2022_Feb_03_1154,2020.2.10,acceptmap-post-exp,60.014859673631086,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013664550031535327,None,,,,,,,,,,,,,
