square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,fixation_rest.started,fixation_rest.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
1,"[-0.2, 0.2]",0.0,0,12,12,12,,,None,None,"[0, 0, 0]",66.77800280001247,68.77800829999615,66.77800280001247,67.77800210000714,67.7613352999906,68.7613515999983,"[0, 0, 0]",1,66.77800280001247,68.77800829999615,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
9,"[0.2, -0.2]",0.0,0,13,13,13,,,None,None,"[0, 0, 0]",68.79466820001835,70.79468240001006,68.79466820001835,69.79468380002072,69.77801250002813,70.77803839999251,"[0, 0, 0]",0,68.79466820001835,70.79468240001006,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
9,"[0.2, -0.2]",0.0,0,14,14,14,,,None,None,"[0, 0, 0]",70.81135029997677,72.81137329997728,70.81135029997677,71.81137150002178,71.79471019998891,72.79470600001514,"[0, 0, 0]",1,70.81135029997677,72.81137329997728,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
8,"[0, -0.2]",0.0,0,15,15,15,,,None,None,"[0, 0, 0]",72.82806229998823,74.8280760999769,72.82806229998823,73.82806879997952,73.81138169998303,74.81140459998278,"[0, 0, 0]",0,72.82806229998823,74.8280760999769,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
6,"[0.2, 0]",0.0,0,16,16,16,,,None,None,"[0, 0, 0]",74.84473040001467,76.84474989998853,74.84473040001467,75.84473130002152,75.82807759998832,76.82802489999449,"[0, 0, 0]",1,74.84473040001467,76.84474989998853,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
3,"[0.2, 0.2]",0.0,0,17,17,17,,,None,None,"[0, 0, 0]",76.86140749999322,78.86143519997131,76.86140749999322,77.8614504999714,77.84478510002373,78.84477059997153,"[0, 0, 0]",0,76.86140749999322,78.86143519997131,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
6,"[0.2, 0]",1.0,0,18,18,18,,,None,None,"[0, 0, 0]",78.87802170001669,80.87812810001196,78.87802170001669,79.87811769999098,79.86146530002588,80.86147130001336,"[0, 0, 0]",0,78.87802170001669,80.87812810001196,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",0.0,0,19,19,19,,,None,None,"[0, 0, 0]",80.89479789999314,82.89477979997173,80.89479789999314,81.89480660000117,81.87810349999927,82.87813770002685,"[0, 0, 0]",0,80.89479789999314,82.89477979997173,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
7,"[-0.2, -0.2]",0.0,0,20,20,20,,,None,None,"[0, 0, 0]",82.91146729997126,84.9114992999821,82.91146729997126,83.9114834999782,83.89483150001615,84.89481969998451,"[0, 0, 0]",1,82.91146729997126,84.9114992999821,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",1.0,0,21,21,21,,,None,None,"[0, 0, 0]",84.92817919998197,86.92820540000685,84.92817919998197,85.9448318000068,85.92854370002169,86.92820540000685,"[0, 0, 0]",0,84.92817919998197,86.92820540000685,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
1,"[-0.2, 0.2]",0.0,0,22,22,22,,,None,None,"[0, 0, 0]",86.94484840001678,88.94490429997677,86.94484840001678,87.94486759998836,87.92818290001014,88.92827719997149,"[0, 0, 0]",0,86.94484840001678,88.94490429997677,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
7,"[-0.2, -0.2]",0.0,0,23,23,23,,,None,None,"[0, 0, 0]",88.96160149999196,90.96143540000776,88.96160149999196,89.96155060001183,89.94489230000181,90.94488480000291,"[0, 0, 0]",0,88.96160149999196,90.96143540000776,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
9,"[0.2, -0.2]",0.0,0,24,24,24,,,None,None,"[0, 0, 0]",90.97822759998962,92.97823339997558,90.97822759998962,91.99489710002672,91.97862409998197,92.97823339997558,"[0, 0, 0]",1,90.97822759998962,92.97823339997558,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
3,"[0.2, 0.2]",0.0,0,25,25,25,,,None,None,"[0, 0, 0]",92.99491010000929,94.99494200001936,92.99491010000929,93.99492349999491,93.97828400001163,94.9782868999755,"[0, 0, 0]",1,92.99491010000929,94.99494200001936,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
9,"[0.2, -0.2]",1.0,0,26,26,26,,,None,None,"[0, 0, 0]",95.01157739997143,97.01162980002118,95.01157739997143,96.01162280002609,95.99491870001657,96.99495610001031,"[0, 0, 0]",0,95.01157739997143,97.01162980002118,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
6,"[0.2, 0]",0.0,0,27,27,27,,,None,None,"[0, 0, 0]",97.02827900002012,99.02830110001378,97.02827900002012,98.02829520002706,98.0115709999809,99.01167239999631,"[0, 0, 0]",1,97.02827900002012,99.02830110001378,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
2,"[0, 0.2]",0.0,0,28,28,28,,,None,None,"[0, 0, 0]",99.04496010002913,101.04498740000417,99.04496010002913,100.04498800000874,100.0282925000065,101.02830870001344,"[0, 0, 0]",1,99.04496010002913,101.04498740000417,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",0.0,0,29,29,29,,,None,None,"[0, 0, 0]",101.06164039997384,103.06168199999956,101.06164039997384,102.0616567999823,102.04501250002068,103.04491420002887,"[0, 0, 0]",1,101.06164039997384,103.06168199999956,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
,,,,,,,,,,,,,,,,,,,,,,103.09500670002308,None,space,103.09500670002308,None,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
6,"[0.2, 0]",None,0,0,0,0,132.4286142999772,None,None,None,"[0, 0, 0]",133.44528159999754,None,133.44528159999754,134.44529840000905,134.42862999998033,135.4286225999822,"[0, 0, 0]",1,133.44528159999754,None,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
7,"[-0.2, -0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",135.44530399999348,137.445310399984,135.44530399999348,136.44531540002208,136.42869819997577,137.42865110002458,"[0, 0, 0]",1,135.44530399999348,137.445310399984,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
6,"[0.2, 0]",1.0,0,2,2,2,,,None,None,"[0, 0, 0]",137.4619732000283,139.46198740002,137.4619732000283,138.4619845999987,138.44532970001455,139.44523040001513,"[0, 0, 0]",1,137.4619732000283,139.46198740002,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
2,"[0, 0.2]",0.0,0,3,3,3,,,None,None,"[0, 0, 0]",139.47866760002216,141.4786922999774,139.47866760002216,140.47869349998655,140.46201830002246,141.4620415000245,"[0, 0, 0]",1,139.47866760002216,141.4786922999774,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",0.0,0,4,4,4,,,None,None,"[0, 0, 0]",141.49535649997415,143.4953969999915,141.49535649997415,142.4953693000134,142.4786995999748,143.47871049999958,"[0, 0, 0]",1,141.49535649997415,143.4953969999915,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
4,"[-0.2, 0]",0.0,0,5,5,5,,,None,None,"[0, 0, 0]",143.51204559998587,145.51210779999383,143.51204559998587,144.51206099998672,144.4953798999777,145.49538909998955,"[0, 0, 0]",1,143.51204559998587,145.51210779999383,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
4,"[-0.2, 0]",0.0,0,6,6,6,,,None,None,"[0, 0, 0]",145.5287274000002,147.52874659997178,145.5287274000002,146.5287295000162,146.51206719997572,147.5120872000116,"[0, 0, 0]",1,145.5287274000002,147.52874659997178,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
7,"[-0.2, -0.2]",0.0,0,7,7,7,,,None,None,"[0, 0, 0]",147.54542839998612,149.54542340000626,147.54542839998612,148.5454061999917,148.528752800019,149.52876969997305,"[0, 0, 0]",0,147.54542839998612,149.54542340000626,,,,,,,,,,,,,,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1413,2020.2.10,distractmap1,60.00452434065863,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
