square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,response_2.rt_left,response_2.rt_right,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
1,"[-0.2, 0.2]",0,0,10,10,10,,,,,,,1516.6567341000773,None,1516.6567341000773,1517.656755300006,1517.6400784000289,1518.6400818000548,1,-0.15833333333333333,0.07592592592592592,"[0, 0, 0]",0,0,1516.6567341000773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,21,r,CIB,2021_Aug_20_1402,distractmap,2020.2.10,59.993400703609076,"['Abdomen', 'Left Arm', 'Chest', 'Right Arm', 'Right Face', 'Right Arm', 'Left Leg', 'Right Leg', 'Left Face', 'Chest', 'Left Arm', 'Right Leg', 'Left Leg', 'Abdomen', 'Right Face', 'Left Face']",
2,"[0, 0.2]",0,0,11,11,11,,,,,,,1518.6568153999979,None,1518.6568153999979,1519.656753999996,1519.6401070000138,1520.6401050999993,1,-0.15833333333333333,0.07592592592592592,"[0, 0, 0]",0,0,1518.6568153999979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,21,r,CIB,2021_Aug_20_1402,distractmap,2020.2.10,59.993400703609076,"['Abdomen', 'Left Arm', 'Chest', 'Right Arm', 'Right Face', 'Right Arm', 'Left Leg', 'Right Leg', 'Left Face', 'Chest', 'Left Arm', 'Right Leg', 'Left Leg', 'Abdomen', 'Right Face', 'Left Face']",
4,"[-0.2, 0]",0,0,12,12,12,,,,,,,1520.656777300057,None,1520.656777300057,1521.6567074999912,1521.6401033999864,1522.6401075000176,1,-0.15833333333333333,0.07592592592592592,"[0, 0, 0]",0,0,1520.656777300057,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,21,r,CIB,2021_Aug_20_1402,distractmap,2020.2.10,59.993400703609076,"['Abdomen', 'Left Arm', 'Chest', 'Right Arm', 'Right Face', 'Right Arm', 'Left Leg', 'Right Leg', 'Left Face', 'Chest', 'Left Arm', 'Right Leg', 'Left Leg', 'Abdomen', 'Right Face', 'Left Face']",
4,"[-0.2, 0]",1,0,13,13,13,,,,,,,1522.6567824999802,None,1522.6567824999802,1523.6568036000244,1523.6401232000208,1524.6401314000832,1,-0.15833333333333333,0.07592592592592592,"[0, 0, 0]",0,0,1522.6567824999802,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,21,r,CIB,2021_Aug_20_1402,distractmap,2020.2.10,59.993400703609076,"['Abdomen', 'Left Arm', 'Chest', 'Right Arm', 'Right Face', 'Right Arm', 'Left Leg', 'Right Leg', 'Left Face', 'Chest', 'Left Arm', 'Right Leg', 'Left Leg', 'Abdomen', 'Right Face', 'Left Face']",
8,"[0, -0.2]",0,0,14,14,14,,,,,,,1524.6567703000037,None,1524.6567703000037,1525.656810500077,1525.6401314999675,1526.6401403000345,1,-0.15833333333333333,0.07592592592592592,"[0, 0, 0]",0,0,1524.6567703000037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,21,r,CIB,2021_Aug_20_1402,distractmap,2020.2.10,59.993400703609076,"['Abdomen', 'Left Arm', 'Chest', 'Right Arm', 'Right Face', 'Right Arm', 'Left Leg', 'Right Leg', 'Left Face', 'Chest', 'Left Arm', 'Right Leg', 'Left Leg', 'Abdomen', 'Right Face', 'Left Face']",
5,"[0, 0]",0,0,15,15,15,,,,,,,1526.6567123000277,None,1526.6567123000277,1527.6568169000093,1527.6401544000255,1528.6401675000088,1,-0.15833333333333333,0.07592592592592592,"[0, 0, 0]",0,0,1526.6567123000277,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,21,r,CIB,2021_Aug_20_1402,distractmap,2020.2.10,59.993400703609076,"['Abdomen', 'Left Arm', 'Chest', 'Right Arm', 'Right Face', 'Right Arm', 'Left Leg', 'Right Leg', 'Left Face', 'Chest', 'Left Arm', 'Right Leg', 'Left Leg', 'Abdomen', 'Right Face', 'Left Face']",
5,"[0, 0]",1,0,16,16,16,,,,,,,1528.656829399988,None,1528.656829399988,1529.65685020003,1529.6401516000042,1530.6401747000637,0,-0.15833333333333333,0.07592592592592592,"[0, 0, 0]",0,0,1528.656829399988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,21,r,CIB,2021_Aug_20_1402,distractmap,2020.2.10,59.993400703609076,"['Abdomen', 'Left Arm', 'Chest', 'Right Arm', 'Right Face', 'Right Arm', 'Left Leg', 'Right Leg', 'Left Face', 'Chest', 'Left Arm', 'Right Leg', 'Left Leg', 'Abdomen', 'Right Face', 'Left Face']",
1,"[-0.2, 0.2]",0,0,17,17,17,,,,,,,1530.656840300071,None,1530.656840300071,1531.6568479000125,1531.640188600053,1532.6401834000135,1,-0.15833333333333333,0.07592592592592592,"[0, 0, 0]",0,0,1530.656840300071,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,21,r,CIB,2021_Aug_20_1402,distractmap,2020.2.10,59.993400703609076,"['Abdomen', 'Left Arm', 'Chest', 'Right Arm', 'Right Face', 'Right Arm', 'Left Leg', 'Right Leg', 'Left Face', 'Chest', 'Left Arm', 'Right Leg', 'Left Leg', 'Abdomen', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",0,0,18,18,18,,,,,,,1532.656857999973,None,1532.656857999973,1533.6568634000141,1533.6401817000005,1534.6402110999916,1,-0.15833333333333333,0.07592592592592592,"[0, 0, 0]",0,0,1532.656857999973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,21,r,CIB,2021_Aug_20_1402,distractmap,2020.2.10,59.993400703609076,"['Abdomen', 'Left Arm', 'Chest', 'Right Arm', 'Right Face', 'Right Arm', 'Left Leg', 'Right Leg', 'Left Face', 'Chest', 'Left Arm', 'Right Leg', 'Left Leg', 'Abdomen', 'Right Face', 'Left Face']",
6,"[0.2, 0]",0,0,19,19,19,,,,,,,1534.6568750999868,None,1534.6568750999868,1535.6568984000478,1535.6397067999933,1536.6402231999673,1,-0.15833333333333333,0.07592592592592592,"[0, 0, 0]",0,0,1534.6568750999868,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,21,r,CIB,2021_Aug_20_1402,distractmap,2020.2.10,59.993400703609076,"['Abdomen', 'Left Arm', 'Chest', 'Right Arm', 'Right Face', 'Right Arm', 'Left Leg', 'Right Leg', 'Left Face', 'Chest', 'Left Arm', 'Right Leg', 'Left Leg', 'Abdomen', 'Right Face', 'Left Face']",
