	onset	duration	rt	response	correct	attempt	condition
0	63.45175460004248	1.980232080211863			1.0	0.0	1back
1	65.4350895001553	1.9880776898935437			0.0	0.0	1back
2	67.43510839994997	1.990048190113157			0.0	0.0	1back
3	69.43513009999879	1.990717489970848			0.0	0.0	1back
4	71.43515060003847	1.9909422900527716			0.0	0.0	1back
5	73.43516610004008	1.9911383900325745			0.0	0.0	1back
6	75.43516710004769	1.9909844901412725			0.0	0.0	1back
7	77.43519140011631	1.990763989975676			0.0	0.0	1back
8	79.4352108000312	1.9742289900314063	0.9966224997770041	0.0	1.0	0.0	1back
9	81.41856210003607	1.9911630898714066			0.0	0.0	1back
10	83.41855880012736	1.9908474900294095			0.0	0.0	1back
11	85.41856439993717	1.9910459900274873			0.0	0.0	1back
12	87.41862020012923	1.9905483899638057	1.2963022000622004	2.0	1.0	0.0	1back
13	89.41861890000291	1.990633089793846	0.7299364998470992	0.0	1.0	0.0	1back
14	91.41863430012017	1.9907061900012195	0.8632521000690758	2.0	1.0	0.0	1back
15	93.4186615999788	1.9908298898953944	1.1535030999220908	0.0	0.0	0.0	1back
16	95.41868950007483	1.9908985898364335	0.9689436999615282	2.0	0.0	0.0	1back
17	97.41866370011121	1.9909404900390655			0.0	0.0	1back
18	99.41870010015555	1.9909674900118262			0.0	0.0	1back
19	101.41872099996544	1.9909303898457438			0.0	0.0	1back
20	103.41872450010851	1.9908228900749236			0.0	0.0	1back
21	105.4187457000371	1.991049189819023	0.8967165998183191	0.0	1.0	0.0	1back
22	107.41875290009193	1.9911996899172664	0.7966768001206219	0.0	1.0	0.0	1back
23	109.41878130007535	1.9910441900137812	0.5465867999009788	2.0	1.0	0.0	1back
24	111.41880189999938	1.9906990902964026	0.6797669001389295	2.0	1.0	0.0	1back
25	113.41879649995826	1.9907328900881112	0.6671847000252455	2.0	1.0	0.0	1back
26	115.41881820000708	1.9907303899526596	0.7629456999711692	2.0	1.0	0.0	1back
27	117.41885700006969	1.9910579898860306	0.7129722000099719	0.0	1.0	0.0	1back
28	119.41872830013745	1.9909030897542834	0.6965486998669803	2.0	1.0	0.0	1back
29	121.41887490008958	1.9909993901383132	0.7799123998265713	2.0	1.0	0.0	1back
30	score: 	100.0					
