BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,fixation.started,fixation.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,AvoidRating.response,AvoidRating.rt,AvoidRating.started,AvoidRating.stopped,RelaxRating.response,RelaxRating.rt,RelaxRating.started,RelaxRating.stopped,TaskAttentionRating.response,TaskAttentionRating.rt,TaskAttentionRating.started,TaskAttentionRating.stopped,BoredomRating.response,BoredomRating.rt,BoredomRating.started,BoredomRating.stopped,AlertnessRating.response,AlertnessRating.rt,AlertnessRating.started,AlertnessRating.stopped,PosThxRating.response,PosThxRating.rt,PosThxRating.started,PosThxRating.stopped,NegThxRating.response,NegThxRating.rt,NegThxRating.started,NegThxRating.stopped,SelfRating.response,SelfRating.rt,SelfRating.started,SelfRating.stopped,OtherRating.response,OtherRating.rt,OtherRating.started,OtherRating.stopped,ImageryRating.response,ImageryRating.rt,ImageryRating.started,ImageryRating.stopped,PresentRating.response,PresentRating.rt,PresentRating.started,PresentRating.stopped,subject number,gender,acceptMap body-site # (day1: 1-4; day2: 5-8),acceptMap (1)pre- or (2)post-Experience (1 or 2),session,handedness,scanner,run,date,psychopyVersion,expName,frameRate,
,,,,,,,629.3998870000069,None,45.24691358024691,601.4253469000105,0.014484400016954169,5.011603799997829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,1,8,R,EIM,2,2022_Feb_22_2103,2020.2.10,acceptmap-pre-exp,60.038785053422096,
,,,,,,,,,,,0.015084999991813675,5.012736299977405,30.370370370370352,619.0106819999928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,1,8,R,EIM,2,2022_Feb_22_2103,2020.2.10,acceptmap-pre-exp,60.038785053422096,
,,,,,,,,,,,,,,,0.01324120000936091,None,69.13580246913583,628.6279827000108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,1,8,R,EIM,2,2022_Feb_22_2103,2020.2.10,acceptmap-pre-exp,60.038785053422096,
,,,,,,,,,85.74074074074073,634.7875281000161,,,,,,,,,0.012711599993053824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,1,8,R,EIM,2,2022_Feb_22_2103,2020.2.10,acceptmap-pre-exp,60.038785053422096,
,,,,,,,,,,,0.0031374999962281436,None,,,,,,,,,69.32098765432099,645.8273478000483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,1,8,R,EIM,2,2022_Feb_22_2103,2020.2.10,acceptmap-pre-exp,60.038785053422096,
,,,,,,,,,,,,,,,,,,,,,,,0.013451299979351461,None,100.0,649.1107309000217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,1,8,R,EIM,2,2022_Feb_22_2103,2020.2.10,acceptmap-pre-exp,60.038785053422096,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013475699990522116,None,100.0,654.3613484000089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,1,8,R,EIM,2,2022_Feb_22_2103,2020.2.10,acceptmap-pre-exp,60.038785053422096,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01287360000424087,None,43.7037037037037,664.361452400015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,1,8,R,EIM,2,2022_Feb_22_2103,2020.2.10,acceptmap-pre-exp,60.038785053422096,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012864599993918091,None,78.27160493827162,670.3112720000208,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,1,8,R,EIM,2,2022_Feb_22_2103,2020.2.10,acceptmap-pre-exp,60.038785053422096,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013091300002997741,None,-58.27160493827161,676.86131940005,,,,,,,,,,,,,,,,,,,,,,,1002,M,1,1,8,R,EIM,2,2022_Feb_22_2103,2020.2.10,acceptmap-pre-exp,60.038785053422096,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01309879997279495,None,28.271604938271622,683.3280071000336,,,,,,,,,,,,,,,,,,,1002,M,1,1,8,R,EIM,2,2022_Feb_22_2103,2020.2.10,acceptmap-pre-exp,60.038785053422096,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013120499992510304,None,0.8641975308642031,694.778374800022,,,,,,,,,,,,,,,1002,M,1,1,8,R,EIM,2,2022_Feb_22_2103,2020.2.10,acceptmap-pre-exp,60.038785053422096,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012852499989094213,None,43.580246913580226,700.9273404999985,,,,,,,,,,,1002,M,1,1,8,R,EIM,2,2022_Feb_22_2103,2020.2.10,acceptmap-pre-exp,60.038785053422096,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013926300016464666,None,0.0,711.7774554000061,,,,,,,1002,M,1,1,8,R,EIM,2,2022_Feb_22_2103,2020.2.10,acceptmap-pre-exp,60.038785053422096,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013895100011723116,None,76.54320987654319,721.9617356999952,,,1002,M,1,1,8,R,EIM,2,2022_Feb_22_2103,2020.2.10,acceptmap-pre-exp,60.038785053422096,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013000800012378022,None,,,,,,,,,,,,,
