square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
3,"[0.2, 0.2]",0.0,0,17,17,17,,,None,None,"[0, 0, 0]",392.5966603999841,394.5966751000378,392.5966603999841,393.59651850000955,393.57997920003254,394.5800185999833,"[0, 0, 0]",1,392.5966603999841,394.5966751000378,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
6,"[0.2, 0]",1.0,0,18,18,18,,,None,None,"[0, 0, 0]",394.6133296000189,396.61333680001553,394.6133296000189,395.6133320000372,395.5966618999955,396.5966798000154,"[0, 0, 0]",0,394.6133296000189,396.61333680001553,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",0.0,0,19,19,19,,,None,None,"[0, 0, 0]",396.6300250000204,398.6300390000106,396.6300250000204,397.6300250000204,397.6133519000141,398.6133834000211,"[0, 0, 0]",0,396.6300250000204,398.6300390000106,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
7,"[-0.2, -0.2]",0.0,0,20,20,20,,,None,None,"[0, 0, 0]",398.64669950003736,400.64672280004015,398.64669950003736,399.64669510000385,399.63003800000297,400.6300496000331,"[0, 0, 0]",1,398.64669950003736,400.64672280004015,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",1.0,0,21,21,21,,,None,None,"[0, 0, 0]",400.6633937000297,402.663416800031,400.6633937000297,401.66340600000694,401.64671430003364,402.6467236999888,"[0, 0, 0]",0,400.6633937000297,402.663416800031,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
1,"[-0.2, 0.2]",0.0,0,22,22,22,,,None,None,"[0, 0, 0]",402.6800599999842,404.6800851000007,402.6800599999842,403.6800818000338,403.6634224000154,404.66343499999493,"[0, 0, 0]",1,402.6800599999842,404.6800851000007,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
7,"[-0.2, -0.2]",0.0,0,23,23,23,,,None,None,"[0, 0, 0]",404.6967397000408,406.6967899000156,404.6967397000408,405.6967463000328,405.6800913999905,406.6801145999925,"[0, 0, 0]",1,404.6967397000408,406.6967899000156,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
9,"[0.2, -0.2]",0.0,0,24,24,24,,,None,None,"[0, 0, 0]",406.7134643000318,408.7134664999903,406.7134643000318,407.7134592999937,407.69677889999,408.6967808000045,"[0, 0, 0]",1,406.7134643000318,408.7134664999903,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
3,"[0.2, 0.2]",0.0,0,25,25,25,,,None,None,"[0, 0, 0]",408.73011180001777,410.7301398999989,408.73011180001777,409.7301353000221,409.7134692000109,410.71352460002527,"[0, 0, 0]",1,408.73011180001777,410.7301398999989,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
9,"[0.2, -0.2]",1.0,0,26,26,26,,,None,None,"[0, 0, 0]",410.7468746000086,412.74685090000276,410.7468746000086,411.74681159999454,411.7301422000164,412.7301498000161,"[0, 0, 0]",0,410.7468746000086,412.74685090000276,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
6,"[0.2, 0]",0.0,0,27,27,27,,,None,None,"[0, 0, 0]",412.76354080002056,414.7635306000011,412.76354080002056,413.76350380002987,413.74682500003837,414.74682400003076,"[0, 0, 0]",1,412.76354080002056,414.7635306000011,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
2,"[0, 0.2]",0.0,0,28,28,28,,,None,None,"[0, 0, 0]",414.7801758000278,416.78018649999285,414.7801758000278,415.78019040002255,415.7635166000109,416.76352510001743,"[0, 0, 0]",1,414.7801758000278,416.78018649999285,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",0.0,0,29,29,29,,,None,None,"[0, 0, 0]",416.796872899984,418.79687100002775,416.796872899984,417.79687820002437,417.78021830000216,418.7802184000029,"[0, 0, 0]",1,416.796872899984,418.79687100002775,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
,,,,,,,,,,,,,,,,,,,,,,418.81354380003177,None,space,418.81354380003177,None,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
6,"[0.2, 0]",None,0,0,0,0,446.3971499000327,None,None,None,"[0, 0, 0]",447.41383309999947,None,447.41383309999947,448.4138407999999,448.397143899987,449.3971648000297,"[0, 0, 0]",1,447.41383309999947,None,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
7,"[-0.2, -0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",449.41383600002155,451.41383159998804,449.41383600002155,450.4138326999964,450.3971627000137,451.39717140002176,"[0, 0, 0]",0,449.41383600002155,451.41383159998804,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
6,"[0.2, 0]",1.0,0,2,2,2,,,None,None,"[0, 0, 0]",451.43050110002514,453.4305413000402,451.43050110002514,452.43053960002726,452.41386760002933,453.4138729000115,"[0, 0, 0]",0,451.43050110002514,453.4305413000402,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
2,"[0, 0.2]",0.0,0,3,3,3,,,None,None,"[0, 0, 0]",453.44719099998474,455.447199599992,453.44719099998474,454.44724740000675,454.4306119999965,455.4305550000281,"[0, 0, 0]",1,453.44719099998474,455.447199599992,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",0.0,0,4,4,4,,,None,None,"[0, 0, 0]",455.4638916000258,457.4639116000035,455.4638916000258,456.46389980003005,456.4472177000134,457.44720520003466,"[0, 0, 0]",1,455.4638916000258,457.4639116000035,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
4,"[-0.2, 0]",0.0,0,5,5,5,,,None,None,"[0, 0, 0]",457.4805404000217,459.48058299999684,457.4805404000217,458.4805811000406,458.4639085000381,459.4639099999913,"[0, 0, 0]",1,457.4805404000217,459.48058299999684,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
4,"[-0.2, 0]",0.0,0,6,6,6,,,None,None,"[0, 0, 0]",459.4972766999854,461.4972718000063,459.4972766999854,460.4972471999936,460.48057910002535,461.48059980000835,"[0, 0, 0]",1,459.4972766999854,461.4972718000063,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
7,"[-0.2, -0.2]",0.0,0,7,7,7,,,None,None,"[0, 0, 0]",461.51394129998516,463.51395890000276,461.51394129998516,462.513938100019,462.49727110000094,463.4972778999945,"[0, 0, 0]",1,461.51394129998516,463.51395890000276,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
4,"[-0.2, 0]",1.0,0,8,8,8,,,None,None,"[0, 0, 0]",463.5306070999941,465.5306455999962,463.5306070999941,464.5306225999957,464.51397650002036,465.5139542000252,"[0, 0, 0]",0,463.5306070999941,465.5306455999962,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
3,"[0.2, 0.2]",0.0,0,9,9,9,,,None,None,"[0, 0, 0]",465.54730770003516,467.54733540001325,465.54730770003516,466.54730670002755,466.53063819999807,467.530668899999,"[0, 0, 0]",0,465.54730770003516,467.54733540001325,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",0.0,0,10,10,10,,,None,None,"[0, 0, 0]",467.56400150002446,469.5640004000161,467.56400150002446,468.5640294000041,468.5473473999882,469.54736720002256,"[0, 0, 0]",1,467.56400150002446,469.5640004000161,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
3,"[0.2, 0.2]",1.0,0,11,11,11,,,None,None,"[0, 0, 0]",469.5806665000273,471.5807040000218,469.5806665000273,470.59736379998503,470.58100629999535,471.5807040000218,"[0, 0, 0]",1,469.5806665000273,471.5807040000218,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
