square,location,corrAns,runSeq,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
6,"[0.2, 0]",None,,0,0,0,0,0,0,0,0,,,,,,,,,53.472135599993635,None,54.533309199963696,None,54.533309199963696,55.54003299999749,55.52325349999592,None,1,-0.18194444444444444,0.013888888888888888,"[0, 0, 0]",0,0,54.533309199963696,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_2022,WASABI distractmap,2020.2.10,60.78994095936548,"['Right Arm', 'Abdomen', 'Right Face', 'Left Face']",
6,"[0.2, 0]",1.0,,0,0,0,0,0,1,1,1,,,,,,,,,,,56.49041249998845,None,56.49041249998845,57.49088649998885,57.49088649998885,None,1,-0.18194444444444444,0.013888888888888888,"[0, 0, 0]",0,0,56.49041249998845,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_2022,WASABI distractmap,2020.2.10,60.78994095936548,"['Right Arm', 'Abdomen', 'Right Face', 'Left Face']",
2,"[0, 0.2]",0.0,,0,0,0,0,0,2,2,2,,,,,,,,,,,58.491437099990435,None,58.491437099990435,59.491824199969415,59.4752862000023,None,1,-0.18194444444444444,0.013888888888888888,"[0, 0, 0]",0,0,58.491437099990435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_2022,WASABI distractmap,2020.2.10,60.78994095936548,"['Right Arm', 'Abdomen', 'Right Face', 'Left Face']",
9,"[0.2, -0.2]",0.0,,0,0,0,0,0,3,3,3,,,,,,,,,,,60.475910099979956,None,60.475910099979956,61.4763272999553,61.45949129998917,62.4601819999516,1,-0.18194444444444444,0.013888888888888888,"[0, 0, 0]",0,0,60.475910099979956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_2022,WASABI distractmap,2020.2.10,60.78994095936548,"['Right Arm', 'Abdomen', 'Right Face', 'Left Face']",
9,"[0.2, -0.2]",1.0,,0,0,0,0,0,4,4,4,,,,,,,,,,,62.47713259997545,None,62.47713259997545,63.47737439995399,63.46054269996239,64.4612088999711,0,-0.18194444444444444,0.013888888888888888,"[0, 0, 0]",0,0,62.47713259997545,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_2022,WASABI distractmap,2020.2.10,60.78994095936548,"['Right Arm', 'Abdomen', 'Right Face', 'Left Face']",
6,"[0.2, 0]",0.0,,0,0,0,0,0,5,5,5,,,,,,,,,,,64.47892729996238,None,64.47892729996238,65.47830719995545,65.46148899995023,66.46221849997528,1,-0.18194444444444444,0.013888888888888888,"[0, 0, 0]",0,0,64.47892729996238,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_2022,WASABI distractmap,2020.2.10,60.78994095936548,"['Right Arm', 'Abdomen', 'Right Face', 'Left Face']",
4,"[-0.2, 0]",0.0,,0,0,0,0,0,6,6,6,,,,,,,,,,,66.4790071999887,None,66.4790071999887,67.4794477999676,67.46266520000063,68.4630763999885,1,-0.18194444444444444,0.013888888888888888,"[0, 0, 0]",0,0,66.4790071999887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_2022,WASABI distractmap,2020.2.10,60.78994095936548,"['Right Arm', 'Abdomen', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",0.0,,0,0,0,0,0,7,7,7,,,,,,,,,,,68.4811985999695,None,68.4811985999695,69.48056279995944,69.46360819996335,70.46453639998799,1,-0.18194444444444444,0.013888888888888888,"[0, 0, 0]",0,0,68.4811985999695,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_2022,WASABI distractmap,2020.2.10,60.78994095936548,"['Right Arm', 'Abdomen', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",1.0,,0,0,0,0,0,8,8,8,,,,,,,,,,,70.48122669995064,None,70.48122669995064,71.48141730000498,71.46448639995651,72.46537289995467,0,-0.18194444444444444,0.013888888888888888,"[0, 0, 0]",0,0,70.48122669995064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_2022,WASABI distractmap,2020.2.10,60.78994095936548,"['Right Arm', 'Abdomen', 'Right Face', 'Left Face']",
8,"[0, -0.2]",0.0,,0,0,0,0,0,9,9,9,,,,,,,,,,,72.48197699995944,None,72.48197699995944,73.48263069998939,73.46560949995182,74.46627340000123,1,-0.18194444444444444,0.013888888888888888,"[0, 0, 0]",0,0,72.48197699995944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_08_2022,WASABI distractmap,2020.2.10,60.78994095936548,"['Right Arm', 'Abdomen', 'Right Face', 'Left Face']",
