square,location,corrAns,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,runSeq,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
7,"[-0.2, -0.2]",0.0,0,0,0,0,0,26,26,26,,,,,,,,,,,,420.2423831000051,None,420.2423831000051,421.2428499000089,421.2260721999919,422.2267453999957,1,0.16944444444444445,-0.05138888888888889,"[0, 0, 0]",0,0,420.2423831000051,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
7,"[-0.2, -0.2]",1.0,0,0,0,0,0,27,27,27,,,,,,,,,,,,422.2433364999888,None,422.2433364999888,423.24394929999835,423.22716290000244,424.22770980000496,1,0.16944444444444445,-0.05138888888888889,"[0, 0, 0]",0,0,422.2433364999888,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
2,"[0, 0.2]",0.0,0,0,0,0,0,28,28,28,,,,,,,,,,,,424.2443643999868,None,424.2443643999868,425.2447659999889,425.22820610000053,426.22883239999646,1,0.16944444444444445,-0.05138888888888889,"[0, 0, 0]",0,0,424.2443643999868,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
6,"[0.2, 0]",0.0,0,0,0,0,0,29,29,29,,,,,,,,,,,,426.24531329999445,None,426.24531329999445,427.2457427000045,427.22908729998744,428.2296353999991,1,0.16944444444444445,-0.05138888888888889,"[0, 0, 0]",0,0,426.24531329999445,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.24883950001094,None,space,428.24883950001094,None,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
6,"[0.2, 0]",None,,,,,,,,,0,0,0,0,,,,,,458.77821990000666,None,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",459.78502599999774,None,459.78502599999774,460.79589740000665,460.7792275999964,None,"[0, 0, 0]",1,459.78502599999774,None,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
7,"[-0.2, -0.2]",None,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",461.7797346999869,463.78075440000976,461.7797346999869,462.78025300000445,462.76366090000374,463.76406549999956,"[0, 0, 0]",1,461.7797346999869,463.78075440000976,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
6,"[0.2, 0]",1.0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",463.79743549998966,465.79853770000045,463.79743549998966,464.79792350000935,464.7812932000088,465.78176990000065,"[0, 0, 0]",1,463.79743549998966,465.79853770000045,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
2,"[0, 0.2]",0.0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",465.815162599989,467.81610289998935,465.815162599989,466.81560349999927,466.7989166000043,467.7995219999866,"[0, 0, 0]",1,465.815162599989,467.81610289998935,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
5,"[0, 0]",0.0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,"[0, 0, 0]",467.83280780000496,469.8338545000006,467.83280780000496,468.83334049998666,468.8166790000105,469.817081199988,"[0, 0, 0]",1,467.83280780000496,469.8338545000006,,,,,,,,999,m,2,99,r,TEST,2021_Aug_07_1410,WASABI distractmap,2020.2.10,59.853001025008915,"['Right Arm', 'Abdomen', 'Right Face', 'Right Leg']",
