	onset	duration	phase	condition
0	2.822002900065854	1.466431199805811	cue	Left Arm
1	4.288434099871665	16.517586679197848	movement	Left Arm
2	20.841817000182346	1.483100000070408	cue	Chest
3	22.324917000252753	16.51367897982709	movement	Chest
4	38.87224010005593	1.4833569000475109	cue	Left Face
5	40.355597000103444	16.50296550989151	movement	Left Face
6	56.85949519998394	18.012176970019937	rest	Rest
7	74.9127134999726	1.483053799951449	cue	Right Arm
8	76.39576729992405	16.506084179971367	movement	Right Arm
9	92.89359090011567	18.011149370111525	rest	Rest
10	110.93896110006608	1.4833009999711066	cue	Left Leg
11	112.42226210003719	16.503921509953216	movement	Left Leg
12	128.92680380004458	18.011929970001802	rest	Rest
13	146.9750926999841	1.4833354000002146	cue	Abdomen
14	148.4584280999843	16.515440079849213	movement	Abdomen
15	164.9607228001114	18.011275469791144	rest	Rest
16	183.01807340001687	1.483045500004664	cue	Right Leg
17	184.50111890002154	16.513673910172656	movement	Right Leg
18	201.05779790016823	1.4833518001250923	cue	Right Face
19	202.54114970029332	16.500848409719765	movement	Right Face
20	219.088052400155	1.4833586998283863	cue	Left Face
21	220.57141109998338	16.507265110267326	movement	Left Face
22	237.12272060010582	1.4833201000001281	cue	Abdomen
23	238.60604070010595	16.504916809964925	movement	Abdomen
24	255.17096400004812	1.4831028999760747	cue	Left Arm
25	256.6540669000242	16.50886198016815	movement	Left Arm
26	273.1617415000219	18.01083457004279	rest	Rest
27	291.20975290006027	1.4830803000368178	cue	Right Face
28	292.6928332000971	16.515157679794356	movement	Right Face
29	309.1948915000539	18.011724970070645	rest	Rest
30	327.24169809999876	1.4830883000977337	cue	Left Leg
31	328.7247864000965	16.501859809970483	movement	Left Leg
32	345.28261340013705	1.4839441999793053	cue	Right Arm
33	346.76655760011636	16.502719080308452	movement	Right Arm
34	363.3115614000708	1.4833479998633265	cue	Chest
35	364.7949093999341	16.512405580142513	movement	Chest
36	381.29594660014845	18.01076496997848	rest	Rest
37	399.33872420014814	1.4830855000764132	cue	Right Leg
38	400.82180970022455	16.5088800098747	movement	Right Leg
39	417.32996000000276	18.00986517011188	rest	Rest
40	Condition Order: 	['Left Arm', 'Chest', 'Left Face', 'Rest', 'Right Arm', 'Rest', 'Left Leg', 'Rest', 'Abdomen', 'Rest', 'Right Leg', 'Right Face', 'Left Face', 'Abdomen', 'Left Arm', 'Rest', 'Right Face', 'Rest', 'Left Leg', 'Right Arm', 'Chest', 'Rest', 'Right Leg', 'Rest']		
