	order	onset	duration	rt	correct
0	1		0.0	[]	[]
1	1		0.0	[]	[]
2	1		0.0	[]	[]
3	1		0.0	[]	[]
4	1	371.43945170001825	0.9315657404076774		1
5	1	372.3727419000061	1.9935119099973235		0
6	1	374.37280850001844	1.9938178099691868		1
7	1	376.37280979999923	1.9941759099892806		1
8	1	378.372820700024	1.9942436100100167		1
9	1	380.37284700002056	1.9933420099841896	0.5335724999895319	0
10	1	382.37278620002326	1.9939612099842634		0
11	1	384.37286070000846	1.9939068099774886		1
12	1	386.37281230001827	1.9939187099807896		1
13	1	388.372900700022	1.9935406100121327	0.6003021000069566	1
14	1	390.3729115000169	1.993080909975106		1
15	1	392.3729471999977	1.9936307099997066		1
16	1	394.372906900011	1.9939974099979736	1.4669957000005525	0
17	1	396.3729615000193	1.9939578100165818		1
18	1	398.3729713000066	1.993283909978345		1
19	1	400.3729864000052	1.992587810033001		1
20	1	402.3730104000133	1.9939080100157298	0.816945400001714	1
21	1	404.3730123999994	1.9934407099790405		1
22	1	406.3730381000205	1.9940558099769987		1
23	1	408.3730490000162	1.9939069100073539	0.6002309000177775	1
24	1	410.3730767000234	1.993713209987618		1
25	1	412.373075600015	1.993602410017047		1
26	1	414.37309120001737	1.9939189099823125		1
27	1	416.3731420999975	1.9940236100228503		1
28	1	418.3731480000133	1.9938332100282423		1
29	1	420.37314200002584	1.9937676099943928		0
30	1	422.37317480001366	1.9940886099939235		1
31	1	424.3731881999993	1.9940439099736977	0.5335578999947757	0
32	1	426.37320840000757	1.9933630099985749	1.3168685999989975	1
33	1	428.3732176000194	1.9932972099923063		1
34	1	430.37323950001155	1.9931205100147054		1
35	1	432.37323070000275	1.9938161100144498		1
36	1	434.37327160002314	1.9940490100416355		1
37	1	436.3732721999986	1.9940655099926516		1
38	1	438.3732807000051	1.9940882099908777	0.8169014999875799	1
39	1	440.37331120000454	1.9937081100069918		1
40	1	442.37333140001283	1.9940210100321565		1
41	1	444.3733255000261	1.99395631000516	1.0169216000067536	1
42	1	446.37335330000496	1.9939451100071892		1
43	1	448.3733772000123	1.9933380100119393	0.5502407000167295	0
44	1	450.37337919999845	1.9937557099910919		1
45	1	452.3734097999986	1.9938562099996489		1
46	1	454.37341210001614	1.9941383100231178		1
47	1	456.37341910001123	1.9941046100284439		1
48	1	458.37344100000337	1.9941142100433353	0.5335426999954507	1
49	1	460.37295930000255	1.9933188100112602		1
50	1	462.3734665000229	1.9934114100178704		1
51	1	464.37347360001877	1.9941333099850453	0.45027050000499	1
52	1	466.3734991000092	1.993929609976476		1
53	1	468.3735074000142	1.9934755099820904	0.6002949000103399	0
54	1	470.37352390002343	1.9937709100195207		1
55	1	472.37353520002216	1.9939903100021183		1
56	1	474.3735659000231	1.9941047099709976	0.7835893000010401	1
57	1	476.37358030001633	1.9938338100037072		1
58	1	478.37358080002014	1.9936022099864203		1
59	1	480.3736003000231	1.9939827100024559		1
60	1	482.37361160002183	1.9942215100163594		1
61	1	484.37364210002124	1.9940110099851154	0.6526095999870449	0
62	1	486.3736512000032	1.994036909978604		1
63	1	488.3736587000021	1.9931520099926274		1
64	1	490.3736730000237	1.9939147100085393		1
65	1	492.37371240000357	1.9939945100049954	0.7835524999827612	1
66	1	494.37372329999926	1.9940179100085516		1
67	1	496.37372070000856	1.994033210008638		1
68	1	498.37373750002007	1.9941804100235458		1
69	1	500.37367110000923	1.9938782099925447		1
70	1	502.3737713000155	1.9941671100095846	0.7502269000106025	1
71	1	504.3737944000168	1.9928149100160226		1
72	1	506.3738065000216	1.9934643100132234		1
73	1	508.37381470002583	1.9933081100170966	1.1002469999948516	1
74	1	510.3738267000008	1.9937986099976115		1
75	1	512.373867700022	1.9934254099789541		1
76	1	514.3738593000162	1.993440609978279		1
77	1	516.3738773000077	1.9939904100028798		1
78	1	518.3739022000227	1.993294309999328		1
79	1	520.3739102000254	1.99355831000139		1
80	1	522.3739202000143	1.993947510025464	0.8002527999924496	1
81	1	524.37385980002	1.9939916099829134		1
82	1	526.373948500026	1.9938562099996489		1
83	1	528.3739693000098	1.994063410005765	1.2502340000064578	1
84	1	530.3739807000093	1.993652809993364		1
85	1	532.3740191000106	1.993733709998196		1
86	1	534.3740156000131	1.9933733099605888		1
87	1	536.3740450000041	1.9940104099805467		1
88	1	538.3740670999978	1.993456510012038		1
89	1	540.3740957000118	1.9936947100213729	0.6668655000103172	1
90	1	542.374075700005	1.9941218099847902		1
91	1	544.3740936000249	1.9939182100060862		1
92	1	546.3741027000069	1.9939146100077778	0.700220900005661	1
93	1	548.3741428000212	1.9938301100046374		1
94	1	550.3741619000211	1.9933621099917218		1
95	1	552.374178500002	1.9941014100331813		1
96	1	554.3741855000262	1.9939840099832509		1
97	1	556.3742085999984	1.9941067099862266		1
98	1	558.3742210000055	1.9941347100248095	0.8502342000138015	1
99	1	560.3742201999994	1.9938487100007478		1
100	1	562.3742458000197	1.9942101100168657		1
101	1	564.3742674000096	1.9940137099765707	0.46888190001482144	1
102	1	566.3742659999989	1.993856710003456		1
103	1	568.3743017000088	1.9940107100119349		1
104	1	570.3743176000135	1.993644609960029		1
105	1	572.3743269000261	1.9939085099904332		1
106	1	574.374321500014	1.9939652100147214		1
107	1	576.3743383000256	1.994182809983613		1
108	1	578.374372500024	1.9937797099992167	1.0835644000035245	1
109	1	580.3743920999987	1.993825609999476		1
110	1	582.3743872000196	1.9940268100181129		1
111	1	584.3744039000012	1.9940699099970516	1.1502408999949694	1
112	1	586.3744255000202	1.9941144100157544		1
113	1	588.374360900023	1.9941749099816661		1
