square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,response.rt_left,response.rt_right,response_2.rt_left,response_2.rt_right,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
1,"[-0.2, 0.2]",0,0,10,10,10,,,,,,,105.93451669999922,None,105.93451669999922,106.93453050000244,106.91786790000333,107.91777050000383,1,0.05555555555555555,0.08888888888888889,"[0, 0, 0]",0,0,105.93451669999922,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
2,"[0, 0.2]",0,0,11,11,11,,,,,,,107.93453569999838,None,107.93453569999838,108.93454000000202,108.9178760000068,109.9178896999947,1,0.05555555555555555,0.08888888888888889,"[0, 0, 0]",0,0,107.93453569999838,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
4,"[-0.2, 0]",0,0,12,12,12,,,,,,,109.93456069999957,None,109.93456069999957,110.93455570000515,110.9178888000024,111.91790139999648,1,0.05555555555555555,0.08888888888888889,"[0, 0, 0]",0,0,109.93456069999957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
4,"[-0.2, 0]",1,0,13,13,13,,,,,,,111.93455429999449,None,111.93455429999449,112.93459069999517,112.91791200000443,113.91791139999987,0,0.05555555555555555,0.08888888888888889,"[0, 0, 0]",0,0,111.93455429999449,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
8,"[0, -0.2]",0,0,14,14,14,,,,,,,113.93458020000253,None,113.93458020000253,114.95161720000033,114.91792639999767,115.91786689999572,1,0.05555555555555555,0.08888888888888889,"[0, 0, 0]",0,0,113.93458020000253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
5,"[0, 0]",0,0,15,15,15,,,,,,,115.93459289999737,None,115.93459289999737,116.93460190000769,116.91794630000368,117.9179482000036,1,0.05555555555555555,0.08888888888888889,"[0, 0, 0]",0,0,115.93459289999737,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
5,"[0, 0]",1,0,16,16,16,,,,,,,117.9346080999967,None,117.9346080999967,118.93462489999365,118.91794699999446,119.9179609999992,1,0.05555555555555555,0.08888888888888889,"[0, 0, 0]",0,0,117.9346080999967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
1,"[-0.2, 0.2]",0,0,17,17,17,,,,,,,119.93461290000414,None,119.93461290000414,120.93463459999475,120.91797490000317,121.91797419999784,1,0.05555555555555555,0.08888888888888889,"[0, 0, 0]",0,0,119.93461290000414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
3,"[0.2, 0.2]",0,0,18,18,18,,,,,,,121.9346341000055,None,121.9346341000055,122.9341684999963,122.91798440000275,123.9180003000074,1,0.05555555555555555,0.08888888888888889,"[0, 0, 0]",0,0,121.9346341000055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
6,"[0.2, 0]",0,0,19,19,19,,,,,,,123.93467499999679,None,123.93467499999679,124.93467519999831,124.91798640000343,125.91801459999988,1,0.05555555555555555,0.08888888888888889,"[0, 0, 0]",0,0,123.93467499999679,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,F,2,19,L,MCK,2021_Oct_05_1848,2020.2.10,distractmap2,59.99480444878698,"['Left Arm', 'Abdomen', 'Chest', 'Left Face']",
