square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.rt_left,response_2.rt_right,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,fixation_rest.started,fixation_rest.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
5,"[0, 0]",0,0,10,10,10,,,None,None,"[1, 0, 0]",94.05958870000904,96.059616500017,94.05958870000904,95.05959900000016,95.04294760001358,96.04294190002838,1.7047450999962166,1.4335962999903131,"[1, 0, 0]",0,94.05958870000904,96.059616500017,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
3,"[0.2, 0.2]",1,0,11,11,11,,,None,None,"[1, 0, 1]",96.0762795000046,98.07629040000029,96.0762795000046,97.0762878000096,97.05960880001658,98.05962080002064,1.937415599997621,1.687959700007923,"[1, 0, 1]",0,96.0762795000046,98.07629040000029,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
1,"[-0.2, 0.2]",0,0,12,12,12,,,None,None,"[0, 0, 1]",98.09296180002275,100.09298110002419,98.09296180002275,99.09298770001624,99.07629940001061,100.07630840002093,1.505503199994564,1.7835422000207473,"[0, 0, 1]",1,98.09296180002275,100.09298110002419,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
9,"[0.2, -0.2]",0,0,13,13,13,,,None,None,"[0, 0, 0]",100.10966860002372,102.10967340000207,100.10966860002372,101.1096459000255,101.0929860000033,102.09300690001692,,,"[0, 0, 0]",0,100.10966860002372,102.10967340000207,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
9,"[0.2, -0.2]",0,0,14,14,14,,,None,None,"[1, 0, 1]",102.12632540002232,104.12633950001327,102.12632540002232,103.12633630001801,103.10968020002474,104.10968260001391,1.9169452000060119,1.9168592000205535,"[1, 0, 1]",1,102.12632540002232,104.12633950001327,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
8,"[0, -0.2]",0,0,15,15,15,,,None,None,"[0, 0, 0]",104.14302760001738,106.1430340000079,104.14302760001738,105.14301790000172,105.12636390002444,106.1263609000016,,,"[0, 0, 0]",0,104.14302760001738,106.1430340000079,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
6,"[0.2, 0]",0,0,16,16,16,,,None,None,"[0, 0, 0]",106.15970460002427,108.15971260002698,106.15970460002427,107.15974160001497,107.1430503000156,108.14304510000511,,,"[0, 0, 0]",1,106.15970460002427,108.15971260002698,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
3,"[0.2, 0.2]",0,0,17,17,17,,,None,None,"[1, 0, 1]",108.17639280000003,110.17639620002592,108.17639280000003,109.17638980000629,109.15973860002123,110.15974840000854,1.8335334000003058,1.833608799992362,"[1, 0, 1]",1,108.17639280000003,110.17639620002592,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
6,"[0.2, 0]",1,0,18,18,18,,,None,None,"[1, 0, 1]",110.19307320000371,112.19307570002275,110.19307320000371,111.19309700001031,111.17642210001941,112.17640640001628,1.9544276999949943,1.9545135999796912,"[1, 0, 1]",0,110.19307320000371,112.19307570002275,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
5,"[0, 0]",0,0,19,19,19,,,None,None,"[0, 0, 0]",112.20975140001974,114.2098030000052,112.20975140001974,113.20975600002566,113.19310800000676,114.19310640002368,,,"[0, 0, 0]",1,112.20975140001974,114.2098030000052,,,,,,,,,,,,,,,,,,,5,m,3.1,29,r,Mh IN,49,49,2022_Jul_15_1724,2020.2.10,distractmap,59.97217291630973,"['Left Face', 'Right Face', 'Left Face', 'Right Face']",
